Purpose,TAZID,All,Walk,Bike,NonM,test_id
All,1.0,0.0,0.0,0.0,0.0,11
HBW,1.0,0.0,0.0,0.0,0.0,11
HBO,1.0,0.0,0.0,0.0,0.0,11
NHB,1.0,0.0,0.0,0.0,0.0,11
HBC,1.0,0.0,0.0,0.0,0.0,11
HBSch,1.0,0.0,0.0,0.0,0.0,11
All,2.0,166.0,4.9,0.59,5.48,11
HBW,2.0,22.59,0.0,0.04,0.04,11
HBO,2.0,113.97,4.77,0.53,5.3,11
NHB,2.0,7.15,0.13,0.01,0.14,11
HBC,2.0,0.0,0.0,0.0,0.0,11
HBSch,2.0,22.3,0.0,0.0,0.0,11
All,3.0,151.5,4.21,0.69,4.9,11
HBW,3.0,20.8,0.03,0.09,0.12,11
HBO,3.0,104.05,4.07,0.59,4.65,11
NHB,3.0,7.64,0.11,0.02,0.13,11
HBC,3.0,0.0,0.0,0.0,0.0,11
HBSch,3.0,19.0,0.0,0.0,0.0,11
All,4.0,23.71,0.46,0.08,0.54,11
HBW,4.0,3.24,0.0,0.01,0.01,11
HBO,4.0,16.29,0.45,0.07,0.52,11
NHB,4.0,1.14,0.01,0.0,0.01,11
HBC,4.0,0.0,0.0,0.0,0.0,11
HBSch,4.0,3.05,0.0,0.0,0.0,11
All,5.0,446.47,14.25,2.95,17.19,11
HBW,5.0,78.81,0.3,0.49,0.79,11
HBO,5.0,283.17,13.38,2.35,15.72,11
NHB,5.0,37.52,0.57,0.11,0.68,11
HBC,5.0,6.0,0.0,0.0,0.0,11
HBSch,5.0,40.96,0.0,0.0,0.0,11
All,6.0,34.67,0.83,0.2,1.03,11
HBW,6.0,5.12,0.03,0.03,0.06,11
HBO,6.0,21.78,0.75,0.16,0.91,11
NHB,6.0,3.9,0.05,0.01,0.06,11
HBC,6.0,0.0,0.0,0.0,0.0,11
HBSch,6.0,3.87,0.0,0.0,0.0,11
All,7.0,394.9,20.22,2.81,23.03,11
HBW,7.0,63.16,2.97,0.8,3.77,11
HBO,7.0,232.37,15.77,1.84,17.61,11
NHB,7.0,66.54,1.48,0.16,1.64,11
HBC,7.0,0.0,0.0,0.0,0.0,11
HBSch,7.0,32.84,0.0,0.0,0.0,11
All,8.0,539.26,10.23,4.78,15.01,11
HBW,8.0,68.4,0.71,0.91,1.62,11
HBO,8.0,268.08,8.29,3.38,11.67,11
NHB,8.0,103.16,1.24,0.49,1.73,11
HBC,8.0,57.0,0.0,0.0,0.0,11
HBSch,8.0,42.61,0.0,0.0,0.0,11
All,9.0,42.0,0.87,0.18,1.05,11
HBW,9.0,1.55,0.05,0.02,0.07,11
HBO,9.0,5.76,0.37,0.07,0.44,11
NHB,9.0,34.26,0.45,0.09,0.54,11
HBC,9.0,0.0,0.0,0.0,0.0,11
HBSch,9.0,0.43,0.0,0.0,0.0,11
All,10.0,188.34,4.04,1.37,5.4,11
HBW,10.0,25.1,0.49,0.3,0.79,11
HBO,10.0,105.67,3.22,0.94,4.15,11
NHB,10.0,40.0,0.33,0.13,0.46,11
HBC,10.0,0.0,0.0,0.0,0.0,11
HBSch,10.0,17.57,0.0,0.0,0.0,11
All,11.0,22.34,0.1,0.14,0.24,11
HBW,11.0,4.16,0.0,0.03,0.03,11
HBO,11.0,14.43,0.1,0.1,0.2,11
NHB,11.0,1.35,0.0,0.0,0.01,11
HBC,11.0,0.0,0.0,0.0,0.0,11
HBSch,11.0,2.4,0.0,0.0,0.0,11
All,12.0,125.76,2.44,1.03,3.47,11
HBW,12.0,20.71,0.02,0.22,0.23,11
HBO,12.0,82.56,2.39,0.78,3.17,11
NHB,12.0,8.0,0.04,0.03,0.07,11
HBC,12.0,0.0,0.0,0.0,0.0,11
HBSch,12.0,14.49,0.0,0.0,0.0,11
All,13.0,0.0,0.0,0.0,0.0,11
HBW,13.0,0.0,0.0,0.0,0.0,11
HBO,13.0,0.0,0.0,0.0,0.0,11
NHB,13.0,0.0,0.0,0.0,0.0,11
HBC,13.0,0.0,0.0,0.0,0.0,11
HBSch,13.0,0.0,0.0,0.0,0.0,11
All,14.0,0.0,0.0,0.0,0.0,11
HBW,14.0,0.0,0.0,0.0,0.0,11
HBO,14.0,0.0,0.0,0.0,0.0,11
NHB,14.0,0.0,0.0,0.0,0.0,11
HBC,14.0,0.0,0.0,0.0,0.0,11
HBSch,14.0,0.0,0.0,0.0,0.0,11
All,15.0,86.12,0.35,0.26,0.62,11
HBW,15.0,1.56,0.02,0.02,0.05,11
HBO,15.0,4.13,0.03,0.03,0.06,11
NHB,15.0,79.68,0.3,0.21,0.51,11
HBC,15.0,0.0,0.0,0.0,0.0,11
HBSch,15.0,0.75,0.0,0.0,0.0,11
All,16.0,40.87,0.62,0.27,0.89,11
HBW,16.0,1.65,0.05,0.03,0.08,11
HBO,16.0,4.76,0.12,0.06,0.19,11
NHB,16.0,33.69,0.44,0.18,0.62,11
HBC,16.0,0.0,0.0,0.0,0.0,11
HBSch,16.0,0.77,0.0,0.0,0.0,11
All,17.0,55.43,0.66,0.45,1.11,11
HBW,17.0,6.93,0.06,0.08,0.14,11
HBO,17.0,38.55,0.58,0.36,0.95,11
NHB,17.0,2.2,0.02,0.01,0.03,11
HBC,17.0,0.0,0.0,0.0,0.0,11
HBSch,17.0,7.75,0.0,0.0,0.0,11
All,18.0,175.08,4.03,0.84,4.87,11
HBW,18.0,0.0,0.0,0.0,0.0,11
HBO,18.0,0.0,0.0,0.0,0.0,11
NHB,18.0,175.08,4.03,0.84,4.87,11
HBC,18.0,0.0,0.0,0.0,0.0,11
HBSch,18.0,0.0,0.0,0.0,0.0,11
All,19.0,1698.73,93.63,22.78,192.3,11
HBW,19.0,273.43,5.02,5.07,10.09,11
HBO,19.0,1082.11,81.94,16.47,98.41,11
NHB,19.0,178.09,5.89,1.03,6.92,11
HBC,19.0,0.0,0.0,0.0,0.0,11
HBSch,19.0,165.1,0.77,0.21,76.87,11
All,20.0,1107.7,74.48,15.68,122.1,11
