Purpose,TAZID,All,Walk,Bike,NonM,test_id
All,1.0,0.0,0.0,0.0,0.0,12
HBW,1.0,0.0,0.0,0.0,0.0,12
HBO,1.0,0.0,0.0,0.0,0.0,12
NHB,1.0,0.0,0.0,0.0,0.0,12
HBC,1.0,0.0,0.0,0.0,0.0,12
HBSch,1.0,0.0,0.0,0.0,0.0,12
All,2.0,165.3,4.9,0.59,5.48,12
HBW,2.0,22.46,0.0,0.04,0.04,12
HBO,2.0,113.44,4.77,0.54,5.3,12
NHB,2.0,7.1,0.13,0.01,0.14,12
HBC,2.0,0.0,0.0,0.0,0.0,12
HBSch,2.0,22.3,0.0,0.0,0.0,12
All,3.0,151.23,4.21,0.69,4.9,12
HBW,3.0,20.83,0.03,0.08,0.11,12
HBO,3.0,103.8,4.07,0.59,4.66,12
NHB,3.0,7.58,0.11,0.02,0.13,12
HBC,3.0,0.0,0.0,0.0,0.0,12
HBSch,3.0,19.02,0.0,0.0,0.0,12
All,4.0,23.85,0.46,0.08,0.54,12
HBW,4.0,3.25,0.0,0.01,0.01,12
HBO,4.0,16.38,0.45,0.07,0.52,12
NHB,4.0,1.15,0.01,0.0,0.01,12
HBC,4.0,0.0,0.0,0.0,0.0,12
HBSch,4.0,3.08,0.0,0.0,0.0,12
All,5.0,446.28,14.24,2.93,17.17,12
HBW,5.0,78.74,0.29,0.48,0.77,12
HBO,5.0,282.81,13.37,2.35,15.72,12
NHB,5.0,37.74,0.57,0.11,0.68,12
HBC,5.0,6.0,0.0,0.0,0.0,12
HBSch,5.0,40.99,0.0,0.0,0.0,12
All,6.0,34.73,0.83,0.2,1.03,12
HBW,6.0,5.15,0.03,0.03,0.06,12
HBO,6.0,21.89,0.75,0.16,0.91,12
NHB,6.0,3.85,0.05,0.01,0.06,12
HBC,6.0,0.0,0.0,0.0,0.0,12
HBSch,6.0,3.85,0.0,0.0,0.0,12
All,7.0,395.57,20.16,2.79,22.96,12
HBW,7.0,63.02,2.91,0.78,3.69,12
HBO,7.0,232.82,15.78,1.85,17.62,12
NHB,7.0,66.89,1.48,0.16,1.64,12
HBC,7.0,0.0,0.0,0.0,0.0,12
HBSch,7.0,32.83,0.0,0.0,0.0,12
All,8.0,540.19,10.22,4.77,14.98,12
HBW,8.0,68.42,0.69,0.9,1.59,12
HBO,8.0,267.8,8.29,3.38,11.67,12
NHB,8.0,103.37,1.23,0.49,1.72,12
HBC,8.0,58.0,0.0,0.0,0.0,12
HBSch,8.0,42.59,0.0,0.0,0.0,12
All,9.0,42.05,0.87,0.18,1.05,12
HBW,9.0,1.52,0.05,0.01,0.06,12
HBO,9.0,5.75,0.37,0.07,0.44,12
NHB,9.0,34.35,0.45,0.09,0.54,12
HBC,9.0,0.0,0.0,0.0,0.0,12
HBSch,9.0,0.43,0.0,0.0,0.0,12
All,10.0,188.45,4.02,1.36,5.38,12
HBW,10.0,25.05,0.47,0.29,0.77,12
HBO,10.0,105.8,3.21,0.94,4.15,12
NHB,10.0,40.03,0.33,0.13,0.46,12
HBC,10.0,0.0,0.0,0.0,0.0,12
HBSch,10.0,17.57,0.0,0.0,0.0,12
All,11.0,22.37,0.1,0.14,0.24,12
HBW,11.0,4.15,0.0,0.03,0.03,12
HBO,11.0,14.5,0.1,0.1,0.2,12
NHB,11.0,1.31,0.0,0.0,0.01,12
HBC,11.0,0.0,0.0,0.0,0.0,12
HBSch,11.0,2.41,0.0,0.0,0.0,12
All,12.0,126.0,2.43,1.03,3.46,12
HBW,12.0,20.74,0.02,0.21,0.23,12
HBO,12.0,82.7,2.38,0.78,3.16,12
NHB,12.0,8.06,0.04,0.03,0.07,12
HBC,12.0,0.0,0.0,0.0,0.0,12
HBSch,12.0,14.5,0.0,0.0,0.0,12
All,13.0,0.0,0.0,0.0,0.0,12
HBW,13.0,0.0,0.0,0.0,0.0,12
HBO,13.0,0.0,0.0,0.0,0.0,12
NHB,13.0,0.0,0.0,0.0,0.0,12
HBC,13.0,0.0,0.0,0.0,0.0,12
HBSch,13.0,0.0,0.0,0.0,0.0,12
All,14.0,0.0,0.0,0.0,0.0,12
HBW,14.0,0.0,0.0,0.0,0.0,12
HBO,14.0,0.0,0.0,0.0,0.0,12
NHB,14.0,0.0,0.0,0.0,0.0,12
HBC,14.0,0.0,0.0,0.0,0.0,12
HBSch,14.0,0.0,0.0,0.0,0.0,12
All,15.0,86.45,0.36,0.26,0.62,12
HBW,15.0,1.57,0.02,0.02,0.05,12
HBO,15.0,4.08,0.03,0.03,0.06,12
NHB,15.0,80.06,0.3,0.21,0.51,12
HBC,15.0,0.0,0.0,0.0,0.0,12
HBSch,15.0,0.75,0.0,0.0,0.0,12
All,16.0,41.1,0.61,0.27,0.89,12
HBW,16.0,1.63,0.05,0.03,0.07,12
HBO,16.0,4.74,0.12,0.06,0.19,12
NHB,16.0,33.96,0.44,0.18,0.62,12
HBC,16.0,0.0,0.0,0.0,0.0,12
HBSch,16.0,0.77,0.0,0.0,0.0,12
