Purpose,TAZID,All,Walk,Bike,NonM,test_id
All,1.0,0.0,0.0,0.0,0.0,0
HBW,1.0,0.0,0.0,0.0,0.0,0
HBO,1.0,0.0,0.0,0.0,0.0,0
NHB,1.0,0.0,0.0,0.0,0.0,0
HBC,1.0,0.0,0.0,0.0,0.0,0
HBSch,1.0,0.0,0.0,0.0,0.0,0
All,2.0,166.59,5.41,0.66,6.07,0
HBW,2.0,22.59,0.0,0.04,0.04,0
HBO,2.0,114.71,5.28,0.6,5.88,0
NHB,2.0,6.98,0.13,0.01,0.15,0
HBC,2.0,0.0,0.0,0.0,0.0,0
HBSch,2.0,22.32,0.0,0.0,0.0,0
All,3.0,151.28,4.7,0.78,5.48,0
HBW,3.0,20.95,0.03,0.1,0.13,0
HBO,3.0,104.03,4.55,0.67,5.22,0
NHB,3.0,7.31,0.12,0.02,0.14,0
HBC,3.0,0.0,0.0,0.0,0.0,0
HBSch,3.0,18.99,0.0,0.0,0.0,0
All,4.0,23.22,0.54,0.09,0.63,0
HBW,4.0,3.27,0.0,0.01,0.01,0
HBO,4.0,15.72,0.53,0.08,0.61,0
NHB,4.0,1.18,0.01,0.0,0.01,0
HBC,4.0,0.0,0.0,0.0,0.0,0
HBSch,4.0,3.07,0.0,0.0,0.0,0
All,5.0,445.93,15.4,3.21,18.61,0
HBW,5.0,78.9,0.31,0.54,0.84,0
HBO,5.0,283.74,14.49,2.56,17.06,0
NHB,5.0,36.28,0.59,0.11,0.7,0
HBC,5.0,6.0,0.0,0.0,0.0,0
HBSch,5.0,41.0,0.0,0.0,0.0,0
All,6.0,34.1,0.92,0.22,1.14,0
HBW,6.0,5.16,0.04,0.03,0.07,0
HBO,6.0,21.42,0.84,0.18,1.01,0
NHB,6.0,3.68,0.05,0.01,0.06,0
HBC,6.0,0.0,0.0,0.0,0.0,0
HBSch,6.0,3.85,0.0,0.0,0.0,0
All,7.0,392.03,21.94,3.06,25.0,0
HBW,7.0,62.99,3.16,0.85,4.01,0
HBO,7.0,234.01,17.27,2.04,19.31,0
NHB,7.0,62.24,1.51,0.16,1.68,0
HBC,7.0,0.0,0.0,0.0,0.0,0
HBSch,7.0,32.79,0.0,0.0,0.0,0
All,8.0,537.25,10.74,5.05,15.79,0
HBW,8.0,68.41,0.73,0.97,1.7,0
HBO,8.0,269.2,8.76,3.59,12.35,0
NHB,8.0,100.08,1.25,0.49,1.74,0
HBC,8.0,57.0,0.0,0.0,0.0,0
HBSch,8.0,42.56,0.0,0.0,0.0,0
All,9.0,39.1,0.93,0.18,1.11,0
HBW,9.0,1.58,0.05,0.02,0.07,0
HBO,9.0,5.81,0.43,0.08,0.5,0
NHB,9.0,31.28,0.45,0.09,0.54,0
HBC,9.0,0.0,0.0,0.0,0.0,0
HBSch,9.0,0.43,0.0,0.0,0.0,0
All,10.0,185.75,4.44,1.51,5.95,0
