Purpose,TAZID,All,Walk,Bike,NonM,test_id
All,1.0,0.0,0.0,0.0,0.0,7
HBW,1.0,0.0,0.0,0.0,0.0,7
HBO,1.0,0.0,0.0,0.0,0.0,7
NHB,1.0,0.0,0.0,0.0,0.0,7
HBC,1.0,0.0,0.0,0.0,0.0,7
HBSch,1.0,0.0,0.0,0.0,0.0,7
All,2.0,166.51,5.36,0.65,6.01,7
HBW,2.0,22.41,0.0,0.04,0.04,7
HBO,2.0,115.0,5.23,0.59,5.82,7
NHB,2.0,6.79,0.13,0.01,0.14,7
HBC,2.0,0.0,0.0,0.0,0.0,7
HBSch,2.0,22.31,0.0,0.0,0.0,7
All,3.0,151.28,4.66,0.77,5.42,7
HBW,3.0,20.76,0.03,0.09,0.12,7
HBO,3.0,104.35,4.51,0.66,5.17,7
NHB,3.0,7.16,0.11,0.02,0.13,7
HBC,3.0,0.0,0.0,0.0,0.0,7
HBSch,3.0,19.0,0.0,0.0,0.0,7
All,4.0,23.35,0.53,0.09,0.62,7
HBW,4.0,3.15,0.0,0.01,0.01,7
HBO,4.0,15.98,0.52,0.08,0.6,7
NHB,4.0,1.16,0.01,0.0,0.01,7
HBC,4.0,0.0,0.0,0.0,0.0,7
HBSch,4.0,3.07,0.0,0.0,0.0,7
All,5.0,445.19,15.28,3.17,18.44,7
HBW,5.0,78.68,0.3,0.52,0.82,7
HBO,5.0,284.1,14.4,2.54,16.94,7
NHB,5.0,35.42,0.57,0.1,0.68,7
HBC,5.0,6.0,0.0,0.0,0.0,7
HBSch,5.0,40.98,0.0,0.0,0.0,7
All,6.0,34.09,0.91,0.22,1.13,7
HBW,6.0,5.05,0.04,0.03,0.07,7
HBO,6.0,21.64,0.83,0.17,1.01,7
NHB,6.0,3.59,0.04,0.01,0.06,7
HBC,6.0,0.0,0.0,0.0,0.0,7
HBSch,6.0,3.82,0.0,0.0,0.0,7
All,7.0,389.99,21.7,3.02,24.72,7
HBW,7.0,62.5,3.09,0.83,3.92,7
HBO,7.0,234.13,17.16,2.02,19.18,7
NHB,7.0,60.57,1.45,0.16,1.61,7
HBC,7.0,0.0,0.0,0.0,0.0,7
HBSch,7.0,32.79,0.0,0.0,0.0,7
All,8.0,534.22,10.65,4.99,15.64,7
HBW,8.0,68.16,0.71,0.94,1.65,7
HBO,8.0,269.4,8.72,3.58,12.3,7
NHB,8.0,97.1,1.21,0.47,1.68,7
HBC,8.0,57.0,0.0,0.0,0.0,7
HBSch,8.0,42.55,0.0,0.0,0.0,7
All,9.0,38.04,0.89,0.18,1.07,7
HBW,9.0,1.53,0.05,0.02,0.07,7
HBO,9.0,5.7,0.41,0.07,0.48,7
NHB,9.0,30.38,0.43,0.09,0.52,7
HBC,9.0,0.0,0.0,0.0,0.0,7
HBSch,9.0,0.43,0.0,0.0,0.0,7
All,10.0,184.52,4.39,1.49,5.88,7
HBW,10.0,25.09,0.51,0.32,0.83,7
HBO,10.0,106.23,3.56,1.05,4.61,7
NHB,10.0,35.65,0.32,0.12,0.44,7
HBC,10.0,0.0,0.0,0.0,0.0,7
HBSch,10.0,17.55,0.0,0.0,0.0,7
All,11.0,22.05,0.12,0.15,0.27,7
HBW,11.0,4.13,0.0,0.03,0.03,7
HBO,11.0,14.3,0.12,0.11,0.23,7
NHB,11.0,1.26,0.0,0.0,0.01,7
HBC,11.0,0.0,0.0,0.0,0.0,7
HBSch,11.0,2.37,0.0,0.0,0.0,7
All,12.0,125.35,2.7,1.13,3.83,7
HBW,12.0,20.53,0.02,0.23,0.25,7
HBO,12.0,82.83,2.65,0.87,3.52,7
NHB,12.0,7.52,0.03,0.03,0.07,7
HBC,12.0,0.0,0.0,0.0,0.0,7
HBSch,12.0,14.48,0.0,0.0,0.0,7
All,13.0,0.0,0.0,0.0,0.0,7
HBW,13.0,0.0,0.0,0.0,0.0,7
HBO,13.0,0.0,0.0,0.0,0.0,7
NHB,13.0,0.0,0.0,0.0,0.0,7
HBC,13.0,0.0,0.0,0.0,0.0,7
HBSch,13.0,0.0,0.0,0.0,0.0,7
All,14.0,0.0,0.0,0.0,0.0,7
HBW,14.0,0.0,0.0,0.0,0.0,7
HBO,14.0,0.0,0.0,0.0,0.0,7
NHB,14.0,0.0,0.0,0.0,0.0,7
HBC,14.0,0.0,0.0,0.0,0.0,7
HBSch,14.0,0.0,0.0,0.0,0.0,7
All,15.0,76.69,0.35,0.25,0.6,7
HBW,15.0,1.6,0.03,0.02,0.05,7
HBO,15.0,4.07,0.04,0.03,0.07,7
NHB,15.0,70.27,0.28,0.2,0.48,7
HBC,15.0,0.0,0.0,0.0,0.0,7
HBSch,15.0,0.75,0.0,0.0,0.0,7
All,16.0,37.25,0.59,0.26,0.85,7
HBW,16.0,1.64,0.05,0.03,0.08,7
HBO,16.0,4.8,0.13,0.07,0.2,7
NHB,16.0,30.04,0.41,0.17,0.58,7
HBC,16.0,0.0,0.0,0.0,0.0,7
HBSch,16.0,0.77,0.0,0.0,0.0,7
All,17.0,54.18,0.73,0.5,1.23,7
HBW,17.0,6.85,0.06,0.08,0.14,7
HBO,17.0,37.42,0.65,0.41,1.06,7
NHB,17.0,2.12,0.02,0.01,0.03,7
HBC,17.0,0.0,0.0,0.0,0.0,7
HBSch,17.0,7.79,0.0,0.0,0.0,7
All,18.0,154.7,3.67,0.77,4.43,7
HBW,18.0,0.0,0.0,0.0,0.0,7
HBO,18.0,0.0,0.0,0.0,0.0,7
NHB,18.0,154.7,3.67,0.77,4.43,7
HBC,18.0,0.0,0.0,0.0,0.0,7
HBSch,18.0,0.0,0.0,0.0,0.0,7
All,19.0,1692.92,95.94,23.27,195.08,7
HBW,19.0,273.64,5.02,5.2,10.23,7
HBO,19.0,1085.77,84.45,16.88,101.33,7
NHB,19.0,168.4,5.7,0.98,6.68,7
HBC,19.0,0.0,0.0,0.0,0.0,7
HBSch,19.0,165.1,0.77,0.21,76.85,7
All,20.0,1100.12,76.28,16.05,124.28,7
HBW,20.0,206.31,5.27,4.2,9.47,7
HBO,20.0,674.09,64.04,10.87,74.91,7
NHB,20.0,150.15,6.65,0.89,7.54,7
HBC,20.0,0.0,0.0,0.0,0.0,7
HBSch,20.0,69.56,0.32,0.09,32.36,7
All,21.0,87.27,2.28,0.49,2.77,7
HBW,21.0,0.0,0.0,0.0,0.0,7
HBO,21.0,0.0,0.0,0.0,0.0,7
NHB,21.0,87.27,2.28,0.49,2.77,7
HBC,21.0,0.0,0.0,0.0,0.0,7
HBSch,21.0,0.0,0.0,0.0,0.0,7
All,22.0,17.36,0.63,0.23,0.86,7
HBW,22.0,2.51,0.1,0.05,0.14,7
HBO,22.0,10.49,0.46,0.16,0.62,7
NHB,22.0,2.75,0.08,0.02,0.1,7
HBC,22.0,0.0,0.0,0.0,0.0,7
HBSch,22.0,1.61,0.0,0.0,0.0,7
All,23.0,58.75,3.06,0.72,8.11,7
HBW,23.0,6.14,0.22,0.11,0.33,7
HBO,23.0,33.9,2.35,0.51,2.85,7
NHB,23.0,13.41,0.44,0.09,0.53,7
HBC,23.0,0.0,0.0,0.0,0.0,7
HBSch,23.0,5.3,0.04,0.01,4.39,7
All,24.0,1045.19,85.47,15.26,199.81,7
HBW,24.0,161.19,5.3,3.38,8.67,7
HBO,24.0,713.99,76.05,11.2,87.24,7
NHB,24.0,61.42,3.13,0.38,3.51,7
HBC,24.0,3.0,0.0,0.0,0.0,7
HBSch,24.0,105.6,1.0,0.3,100.38,7
All,25.0,2483.27,255.71,38.32,454.58,7
HBW,25.0,446.15,26.65,10.47,37.12,7
HBO,25.0,1558.56,207.99,25.55,233.54,7
NHB,25.0,300.38,19.44,1.82,21.26,7
HBC,25.0,7.0,0.0,0.0,0.0,7
HBSch,25.0,171.19,1.62,0.48,162.65,7
All,26.0,1137.57,130.56,18.89,179.31,7
HBW,26.0,209.38,17.05,5.77,22.82,7
HBO,26.0,603.24,92.87,11.33,104.21,7
NHB,26.0,281.95,20.34,1.7,22.04,7
HBC,26.0,2.0,0.0,0.0,0.0,7
HBSch,26.0,40.99,0.3,0.09,30.25,7
All,27.0,0.0,0.0,0.0,0.0,7
HBW,27.0,0.0,0.0,0.0,0.0,7
HBO,27.0,0.0,0.0,0.0,0.0,7
NHB,27.0,0.0,0.0,0.0,0.0,7
HBC,27.0,0.0,0.0,0.0,0.0,7
HBSch,27.0,0.0,0.0,0.0,0.0,7
All,28.0,33.53,1.89,0.41,2.6,7
HBW,28.0,3.96,0.28,0.1,0.38,7
HBO,28.0,11.2,0.93,0.2,1.12,7
NHB,28.0,17.38,0.68,0.11,0.8,7
HBC,28.0,0.0,0.0,0.0,0.0,7
HBSch,28.0,0.99,0.0,0.0,0.3,7
All,29.0,1158.56,120.61,18.18,214.26,7
HBW,29.0,219.28,14.68,5.17,19.85,7
HBO,29.0,745.63,98.66,12.16,110.81,7
NHB,29.0,97.38,6.51,0.62,7.13,7
HBC,29.0,15.0,0.0,0.0,0.0,7
HBSch,29.0,81.27,0.76,0.23,76.46,7
All,30.0,2377.89,311.51,39.71,482.54,7
HBW,30.0,439.03,39.28,11.57,50.85,7
HBO,30.0,1493.95,245.59,25.88,271.47,7
NHB,30.0,299.96,25.32,1.86,27.18,7
HBC,30.0,3.0,0.0,0.0,0.0,7
HBSch,30.0,141.95,1.33,0.4,133.05,7
All,31.0,1651.25,213.14,25.04,309.01,7
HBW,31.0,259.16,25.82,6.84,32.66,7
HBO,31.0,872.24,147.17,15.29,162.46,7
NHB,31.0,443.2,39.43,2.69,42.13,7
HBC,31.0,0.0,0.0,0.0,0.0,7
HBSch,31.0,76.65,0.72,0.21,71.76,7
All,32.0,951.83,101.33,14.94,175.88,7
HBW,32.0,163.04,6.2,3.92,10.12,7
HBO,32.0,634.44,89.13,10.4,99.53,7
NHB,32.0,73.0,5.4,0.45,5.85,7
HBC,32.0,0.0,0.0,0.0,0.0,7
HBSch,32.0,81.35,0.6,0.17,60.38,7
All,33.0,1359.89,168.7,21.61,303.23,7
HBW,33.0,216.58,12.8,5.42,18.22,7
HBO,33.0,925.17,146.32,15.25,161.57,7
NHB,33.0,96.5,8.44,0.6,9.05,7
HBC,33.0,0.0,0.0,0.0,0.0,7
HBSch,33.0,121.64,1.14,0.34,114.39,7
All,34.0,1471.82,152.75,22.76,250.66,7
HBW,34.0,274.02,9.69,6.22,15.91,7
HBO,34.0,953.51,132.9,15.5,148.4,7
NHB,34.0,131.34,9.41,0.82,10.23,7
HBC,34.0,0.0,0.0,0.0,0.0,7
HBSch,34.0,112.95,0.76,0.22,76.12,7
All,35.0,2105.83,225.64,33.43,376.94,7
HBW,35.0,403.22,14.37,9.61,23.98,7
HBO,35.0,1361.21,196.77,22.35,219.12,7
NHB,35.0,180.44,13.31,1.12,14.43,7
HBC,35.0,13.01,0.0,0.0,0.0,7
HBSch,35.0,147.95,1.19,0.35,119.41,7
All,36.0,473.66,41.73,8.38,61.35,7
HBW,36.0,104.94,2.11,2.67,4.78,7
HBO,36.0,293.06,36.24,5.32,41.56,7
NHB,36.0,55.53,3.26,0.35,3.62,7
HBC,36.0,0.0,0.0,0.0,0.0,7
HBSch,36.0,20.12,0.11,0.03,11.39,7
All,37.0,6.84,0.21,0.07,0.28,7
HBW,37.0,0.74,0.02,0.01,0.04,7
HBO,37.0,3.6,0.13,0.04,0.17,7
NHB,37.0,2.25,0.05,0.02,0.07,7
HBC,37.0,0.0,0.0,0.0,0.0,7
HBSch,37.0,0.25,0.0,0.0,0.0,7
All,38.0,315.51,15.95,1.96,18.1,7
HBW,38.0,1.71,0.25,0.03,0.29,7
HBO,38.0,6.19,0.49,0.08,0.57,7
NHB,38.0,306.91,15.2,1.84,17.04,7
HBC,38.0,0.0,0.0,0.0,0.0,7
HBSch,38.0,0.7,0.0,0.0,0.2,7
All,39.0,548.13,70.84,7.8,104.2,7
HBW,39.0,81.72,11.35,2.06,13.41,7
HBO,39.0,282.53,46.15,4.63,50.78,7
NHB,39.0,153.88,13.09,1.03,14.12,7
HBC,39.0,0.0,0.0,0.0,0.0,7
HBSch,39.0,29.99,0.26,0.08,25.89,7
All,40.0,2418.27,391.39,41.07,525.01,7
HBW,40.0,424.9,67.59,12.12,79.71,7
HBO,40.0,1364.02,273.62,25.47,299.09,7
NHB,40.0,490.9,49.24,3.2,52.45,7
HBC,40.0,35.01,0.0,0.0,0.0,7
HBSch,40.0,103.44,0.93,0.28,93.77,7
All,41.0,1556.59,214.8,18.77,265.66,7
HBW,41.0,128.85,20.09,3.84,23.94,7
HBO,41.0,464.07,92.27,8.85,101.12,7
NHB,41.0,927.05,102.11,5.98,108.1,7
HBC,41.0,1.0,0.0,0.0,0.0,7
HBSch,41.0,35.63,0.32,0.1,32.52,7
All,42.0,635.89,88.48,10.15,147.25,7
HBW,42.0,90.7,8.66,2.49,11.15,7
HBO,42.0,410.72,72.34,7.05,79.39,7
NHB,42.0,74.43,6.99,0.47,7.46,7
HBC,42.0,4.0,0.0,0.0,0.0,7
HBSch,42.0,56.04,0.49,0.15,49.26,7
All,43.0,1825.58,207.47,27.4,375.68,7
HBW,43.0,298.76,17.91,6.96,24.86,7
HBO,43.0,1189.89,175.26,18.94,194.2,7
NHB,43.0,171.57,12.89,1.08,13.97,7
HBC,43.0,7.0,0.0,0.0,0.0,7
HBSch,43.0,158.36,1.42,0.43,142.65,7
All,44.0,1022.89,93.05,15.04,133.93,7
HBW,44.0,186.93,4.99,3.96,8.95,7
HBO,44.0,667.41,82.93,10.49,93.42,7
NHB,44.0,79.44,4.86,0.51,5.37,7
HBC,44.0,0.0,0.0,0.0,0.0,7
HBSch,44.0,89.12,0.26,0.09,26.19,7
All,45.0,454.42,33.84,6.4,51.53,7
HBW,45.0,78.04,2.09,1.49,3.58,7
HBO,45.0,295.62,29.84,4.63,34.47,7
NHB,45.0,38.21,1.79,0.25,2.04,7
HBC,45.0,0.0,0.0,0.0,0.0,7
HBSch,45.0,42.54,0.11,0.04,11.44,7
All,46.0,0.0,0.0,0.0,0.0,7
HBW,46.0,0.0,0.0,0.0,0.0,7
HBO,46.0,0.0,0.0,0.0,0.0,7
NHB,46.0,0.0,0.0,0.0,0.0,7
HBC,46.0,0.0,0.0,0.0,0.0,7
HBSch,46.0,0.0,0.0,0.0,0.0,7
All,47.0,0.0,0.0,0.0,0.0,7
HBW,47.0,0.0,0.0,0.0,0.0,7
HBO,47.0,0.0,0.0,0.0,0.0,7
NHB,47.0,0.0,0.0,0.0,0.0,7
HBC,47.0,0.0,0.0,0.0,0.0,7
HBSch,47.0,0.0,0.0,0.0,0.0,7
All,48.0,40.3,0.53,0.28,0.81,7
HBW,48.0,6.11,0.0,0.04,0.04,7
HBO,48.0,26.96,0.53,0.23,0.75,7
NHB,48.0,2.07,0.01,0.01,0.01,7
HBC,48.0,0.0,0.0,0.0,0.0,7
HBSch,48.0,5.16,0.0,0.0,0.0,7
All,49.0,385.29,12.49,2.29,14.78,7
HBW,49.0,0.0,0.0,0.0,0.0,7
HBO,49.0,0.0,0.0,0.0,0.0,7
NHB,49.0,385.29,12.49,2.29,14.78,7
HBC,49.0,0.0,0.0,0.0,0.0,7
HBSch,49.0,0.0,0.0,0.0,0.0,7
All,50.0,137.96,7.35,1.06,9.09,7
HBW,50.0,4.42,0.39,0.08,0.48,7
HBO,50.0,16.78,1.72,0.24,1.96,7
NHB,50.0,114.61,5.23,0.74,5.97,7
HBC,50.0,0.0,0.0,0.0,0.0,7
HBSch,50.0,2.15,0.01,0.0,0.69,7
All,51.0,83.52,9.39,0.98,15.76,7
HBW,51.0,7.89,0.85,0.15,1.0,7
HBO,51.0,43.83,6.69,0.65,7.34,7
NHB,51.0,24.95,1.81,0.16,1.97,7
HBC,51.0,0.0,0.0,0.0,0.0,7
HBSch,51.0,6.85,0.05,0.02,5.46,7
All,52.0,1056.33,121.82,9.62,141.08,7
HBW,52.0,52.92,12.99,1.34,14.33,7
HBO,52.0,185.83,37.26,3.3,40.56,7
NHB,52.0,802.09,71.47,4.95,76.42,7
HBC,52.0,0.0,0.0,0.0,0.0,7
HBSch,52.0,15.49,0.1,0.03,9.77,7
All,53.0,3311.35,511.44,38.65,641.53,7
HBW,53.0,277.7,64.47,7.67,72.14,7
HBO,53.0,1024.33,227.99,18.37,246.36,7
NHB,53.0,1908.78,218.05,12.34,230.39,7
HBC,53.0,0.0,0.0,0.0,0.0,7
HBSch,53.0,100.54,0.92,0.28,92.65,7
All,54.0,1604.58,246.85,22.82,321.1,7
HBW,54.0,202.73,37.31,5.8,43.1,7
HBO,54.0,694.38,140.75,12.64,153.38,7
NHB,54.0,651.45,68.28,4.23,72.52,7
HBC,54.0,0.0,0.0,0.0,0.0,7
HBSch,54.0,56.02,0.52,0.15,52.09,7
All,55.0,1264.34,171.24,20.14,231.03,7
HBW,55.0,202.36,23.82,5.42,29.24,7
HBO,55.0,735.43,126.07,13.03,139.1,7
NHB,55.0,248.36,20.94,1.56,22.5,7
HBC,55.0,1.0,0.0,0.0,0.0,7
HBSch,55.0,77.19,0.4,0.13,40.19,7
All,56.0,212.05,22.9,3.24,31.18,7
HBW,56.0,43.58,2.48,0.94,3.43,7
HBO,56.0,134.82,18.92,2.15,21.07,7
NHB,56.0,19.93,1.45,0.13,1.58,7
HBC,56.0,0.0,0.0,0.0,0.0,7
HBSch,56.0,13.72,0.05,0.02,5.11,7
All,57.0,422.29,48.36,7.16,67.93,7
HBW,57.0,92.46,5.16,2.37,7.53,7
HBO,57.0,262.15,39.42,4.44,43.86,7
NHB,57.0,47.83,3.65,0.31,3.96,7
HBC,57.0,0.0,0.0,0.0,0.0,7
HBSch,57.0,19.85,0.13,0.04,12.58,7
All,58.0,0.0,0.0,0.0,0.0,7
HBW,58.0,0.0,0.0,0.0,0.0,7
HBO,58.0,0.0,0.0,0.0,0.0,7
NHB,58.0,0.0,0.0,0.0,0.0,7
HBC,58.0,0.0,0.0,0.0,0.0,7
HBSch,58.0,0.0,0.0,0.0,0.0,7
All,59.0,0.0,0.0,0.0,0.0,7
HBW,59.0,0.0,0.0,0.0,0.0,7
HBO,59.0,0.0,0.0,0.0,0.0,7
NHB,59.0,0.0,0.0,0.0,0.0,7
HBC,59.0,0.0,0.0,0.0,0.0,7
HBSch,59.0,0.0,0.0,0.0,0.0,7
All,60.0,0.0,0.0,0.0,0.0,7
HBW,60.0,0.0,0.0,0.0,0.0,7
HBO,60.0,0.0,0.0,0.0,0.0,7
NHB,60.0,0.0,0.0,0.0,0.0,7
HBC,60.0,0.0,0.0,0.0,0.0,7
HBSch,60.0,0.0,0.0,0.0,0.0,7
All,61.0,1562.76,188.2,25.96,312.21,7
HBW,61.0,287.56,21.58,7.38,28.96,7
HBO,61.0,1027.47,157.01,17.4,174.4,7
NHB,61.0,135.37,8.63,0.89,9.52,7
HBC,61.0,0.0,0.0,0.0,0.0,7
HBSch,61.0,112.36,0.99,0.29,99.32,7
All,62.0,1797.97,242.63,27.45,402.38,7
HBW,62.0,294.58,27.19,7.11,34.31,7
HBO,62.0,1185.62,203.02,19.03,222.04,7
NHB,62.0,141.21,11.08,0.91,11.99,7
HBC,62.0,24.0,0.0,0.0,0.0,7
HBSch,62.0,152.56,1.34,0.4,134.04,7
All,63.0,320.47,39.98,3.66,58.24,7
HBW,63.0,28.31,4.3,0.67,4.97,7
HBO,63.0,126.24,22.76,1.96,24.72,7
NHB,63.0,147.49,12.77,0.99,13.77,7
HBC,63.0,0.0,0.0,0.0,0.0,7
HBSch,63.0,18.43,0.15,0.04,14.79,7
All,64.0,2146.14,277.78,30.49,427.31,7
HBW,64.0,310.15,31.17,7.64,38.81,7
HBO,64.0,1190.4,203.24,19.37,222.61,7
NHB,64.0,499.98,42.17,3.13,45.3,7
HBC,64.0,0.0,0.0,0.0,0.0,7
HBSch,64.0,145.61,1.2,0.36,120.6,7
All,65.0,2254.11,338.09,36.32,499.33,7
HBW,65.0,388.94,50.8,10.22,61.02,7
HBO,65.0,1354.32,251.55,23.34,274.88,7
NHB,65.0,358.58,34.48,2.38,36.86,7
HBC,65.0,0.0,0.0,0.0,0.0,7
HBSch,65.0,152.26,1.26,0.38,126.57,7
All,66.0,1203.13,154.6,18.51,202.99,7
HBW,66.0,180.25,19.73,5.29,25.01,7
HBO,66.0,550.13,99.28,10.44,109.71,7
NHB,66.0,433.2,35.3,2.7,38.0,7
HBC,66.0,1.0,0.0,0.0,0.0,7
HBSch,66.0,38.55,0.3,0.09,30.27,7
All,67.0,1363.98,187.69,20.49,260.93,7
HBW,67.0,188.46,23.79,5.28,29.06,7
HBO,67.0,675.9,122.65,12.21,134.86,7
NHB,67.0,430.95,40.72,2.84,43.56,7
HBC,67.0,0.0,0.0,0.0,0.0,7
HBSch,67.0,68.66,0.53,0.16,53.45,7
All,68.0,1131.83,144.42,20.03,212.44,7
HBW,68.0,220.18,16.66,6.09,22.75,7
HBO,68.0,711.23,116.77,12.89,129.66,7
NHB,68.0,142.15,10.51,0.91,11.42,7
HBC,68.0,0.0,0.0,0.0,0.0,7
HBSch,68.0,58.26,0.48,0.15,48.62,7
All,69.0,280.46,34.05,4.05,54.75,7
HBW,69.0,38.47,3.03,0.93,3.96,7
HBO,69.0,185.68,28.68,2.89,31.57,7
NHB,69.0,26.62,2.17,0.18,2.35,7
HBC,69.0,1.0,0.0,0.0,0.0,7
HBSch,69.0,28.7,0.17,0.05,16.87,7
All,70.0,953.95,96.6,15.11,188.62,7
HBW,70.0,141.49,7.14,3.49,10.62,7
HBO,70.0,649.22,84.81,10.96,95.77,7
NHB,70.0,66.66,3.87,0.43,4.3,7
HBC,70.0,0.0,0.0,0.0,0.0,7
HBSch,70.0,96.58,0.78,0.23,77.92,7
All,71.0,0.0,0.0,0.0,0.0,7
HBW,71.0,0.0,0.0,0.0,0.0,7
HBO,71.0,0.0,0.0,0.0,0.0,7
NHB,71.0,0.0,0.0,0.0,0.0,7
HBC,71.0,0.0,0.0,0.0,0.0,7
HBSch,71.0,0.0,0.0,0.0,0.0,7
All,72.0,886.74,92.65,13.65,148.05,7
HBW,72.0,123.97,8.71,3.12,11.83,7
HBO,72.0,577.37,77.84,9.8,87.63,7
NHB,72.0,93.67,5.68,0.6,6.28,7
HBC,72.0,0.0,0.0,0.0,0.0,7
HBSch,72.0,91.73,0.42,0.14,42.32,7
All,73.0,35.34,1.82,0.46,4.73,7
HBW,73.0,6.12,0.07,0.09,0.16,7
HBO,73.0,23.54,1.67,0.34,2.01,7
NHB,73.0,2.57,0.06,0.02,0.08,7
HBC,73.0,0.0,0.0,0.0,0.0,7
HBSch,73.0,3.11,0.02,0.01,2.49,7
All,74.0,0.0,0.0,0.0,0.0,7
HBW,74.0,0.0,0.0,0.0,0.0,7
HBO,74.0,0.0,0.0,0.0,0.0,7
NHB,74.0,0.0,0.0,0.0,0.0,7
HBC,74.0,0.0,0.0,0.0,0.0,7
HBSch,74.0,0.0,0.0,0.0,0.0,7
All,75.0,1100.47,120.73,15.14,135.87,7
