Purpose,TAZID,All,Walk,Bike,NonM,test_id
All,1.0,0.0,0.0,0.0,0.0,8
HBW,1.0,0.0,0.0,0.0,0.0,8
HBO,1.0,0.0,0.0,0.0,0.0,8
NHB,1.0,0.0,0.0,0.0,0.0,8
HBC,1.0,0.0,0.0,0.0,0.0,8
HBSch,1.0,0.0,0.0,0.0,0.0,8
All,2.0,165.11,5.23,0.63,5.86,8
HBW,2.0,21.94,0.0,0.04,0.04,8
HBO,2.0,114.27,5.11,0.58,5.69,8
NHB,2.0,6.59,0.12,0.01,0.14,8
HBC,2.0,0.0,0.0,0.0,0.0,8
HBSch,2.0,22.32,0.0,0.0,0.0,8
All,3.0,150.68,4.56,0.75,5.31,8
HBW,3.0,20.49,0.03,0.08,0.11,8
HBO,3.0,104.13,4.42,0.65,5.06,8
NHB,3.0,7.05,0.11,0.02,0.13,8
HBC,3.0,0.0,0.0,0.0,0.0,8
HBSch,3.0,19.01,0.0,0.0,0.0,8
All,4.0,23.89,0.52,0.09,0.6,8
HBW,4.0,3.1,0.0,0.01,0.01,8
HBO,4.0,16.61,0.5,0.08,0.58,8
NHB,4.0,1.13,0.01,0.0,0.01,8
HBC,4.0,0.0,0.0,0.0,0.0,8
HBSch,4.0,3.07,0.0,0.0,0.0,8
All,5.0,442.95,14.99,3.08,18.07,8
HBW,5.0,78.23,0.29,0.48,0.77,8
HBO,5.0,283.76,14.16,2.5,16.66,8
NHB,5.0,33.99,0.55,0.1,0.65,8
HBC,5.0,6.0,0.0,0.0,0.0,8
HBSch,5.0,40.96,0.0,0.0,0.0,8
All,6.0,34.5,0.89,0.21,1.1,8
HBW,6.0,4.99,0.03,0.03,0.06,8
HBO,6.0,22.16,0.81,0.17,0.98,8
NHB,6.0,3.53,0.04,0.01,0.06,8
HBC,6.0,0.0,0.0,0.0,0.0,8
HBSch,6.0,3.82,0.0,0.0,0.0,8
All,7.0,386.42,21.18,2.92,24.09,8
HBW,7.0,62.51,2.93,0.78,3.7,8
HBO,7.0,233.46,16.86,1.99,18.85,8
NHB,7.0,57.63,1.39,0.15,1.54,8
