Purpose,TAZID,All,Walk,Bike,NonM
All,1.0,0.0,0.0,0.0,0.0
HBW,1.0,0.0,0.0,0.0,0.0
HBO,1.0,0.0,0.0,0.0,0.0
NHB,1.0,0.0,0.0,0.0,0.0
HBC,1.0,0.0,0.0,0.0,0.0
HBSch,1.0,0.0,0.0,0.0,0.0
All,2.0,170.31,5.64,0.69,6.34
HBW,2.0,22.44,0.0,0.05,0.05
HBO,2.0,114.12,5.45,0.63,6.07
NHB,2.0,11.42,0.19,0.02,0.21
HBC,2.0,0.0,0.0,0.0,0.0
HBSch,2.0,22.33,0.0,0.0,0.0
All,3.0,155.08,4.96,0.84,5.79
HBW,3.0,20.72,0.03,0.1,0.14
HBO,3.0,103.31,4.74,0.71,5.45
NHB,3.0,12.06,0.18,0.03,0.21
HBC,3.0,0.0,0.0,0.0,0.0
HBSch,3.0,18.99,0.0,0.0,0.0
All,4.0,25.22,0.58,0.1,0.68
HBW,4.0,3.35,0.0,0.01,0.01
HBO,4.0,16.9,0.56,0.08,0.64
NHB,4.0,1.86,0.02,0.0,0.02
HBC,4.0,0.0,0.0,0.0,0.0
HBSch,4.0,3.11,0.0,0.0,0.0
All,5.0,466.28,16.07,3.44,19.5
HBW,5.0,78.62,0.35,0.59,0.94
HBO,5.0,283.18,14.85,2.68,17.53
NHB,5.0,56.49,0.88,0.16,1.04
HBC,5.0,7.0,0.0,0.0,0.0
HBSch,5.0,40.99,0.0,0.0,0.0
All,6.0,38.01,0.99,0.25,1.23
HBW,6.0,5.11,0.04,0.04,0.08
HBO,6.0,22.54,0.87,0.19,1.06
NHB,6.0,6.46,0.07,0.02,0.09
HBC,6.0,0.0,0.0,0.0,0.0
HBSch,6.0,3.89,0.0,0.0,0.0
All,7.0,425.05,23.44,3.3,26.75
HBW,7.0,62.16,3.22,0.89,4.11
HBO,7.0,232.59,17.91,2.16,20.07
NHB,7.0,97.46,2.32,0.25,2.57
HBC,7.0,0.0,0.0,0.0,0.0
HBSch,7.0,32.85,0.0,0.0,0.0
All,8.0,589.77,11.52,5.45,16.98
HBW,8.0,67.96,0.76,1.04,1.8
HBO,8.0,269.72,8.9,3.69,12.59
NHB,8.0,152.48,1.86,0.72,2.59
HBC,8.0,57.0,0.0,0.0,0.0
HBSch,8.0,42.61,0.0,0.0,0.0
All,9.0,59.04,1.21,0.25,1.46
HBW,9.0,1.69,0.06,0.02,0.08
HBO,9.0,6.25,0.45,0.08,0.53
NHB,9.0,50.67,0.71,0.14,0.85
HBC,9.0,0.0,0.0,0.0,0.0
HBSch,9.0,0.43,0.0,0.0,0.0
All,10.0,208.01,4.77,1.66,6.43
HBW,10.0,24.91,0.55,0.35,0.9
HBO,10.0,106.64,3.7,1.12,4.82
NHB,10.0,58.88,0.52,0.19,0.71
HBC,10.0,0.0,0.0,0.0,0.0
HBSch,10.0,17.58,0.0,0.0,0.0
All,11.0,23.91,0.13,0.17,0.3
HBW,11.0,4.25,0.0,0.04,0.04
HBO,11.0,15.06,0.12,0.12,0.25
NHB,11.0,2.2,0.0,0.01,0.01
HBC,11.0,0.0,0.0,0.0,0.0
HBSch,11.0,2.39,0.0,0.0,0.0
All,12.0,130.76,2.87,1.24,4.11
HBW,12.0,20.44,0.02,0.27,0.29
HBO,12.0,83.19,2.79,0.92,3.71
NHB,12.0,12.6,0.06,0.05,0.11
HBC,12.0,0.0,0.0,0.0,0.0
HBSch,12.0,14.53,0.0,0.0,0.0
All,13.0,0.0,0.0,0.0,0.0
HBW,13.0,0.0,0.0,0.0,0.0
HBO,13.0,0.0,0.0,0.0,0.0
NHB,13.0,0.0,0.0,0.0,0.0
HBC,13.0,0.0,0.0,0.0,0.0
HBSch,13.0,0.0,0.0,0.0,0.0
All,14.0,0.0,0.0,0.0,0.0
HBW,14.0,0.0,0.0,0.0,0.0
HBO,14.0,0.0,0.0,0.0,0.0
NHB,14.0,0.0,0.0,0.0,0.0
HBC,14.0,0.0,0.0,0.0,0.0
HBSch,14.0,0.0,0.0,0.0,0.0
All,15.0,122.38,0.54,0.38,0.92
HBW,15.0,1.7,0.03,0.02,0.05
HBO,15.0,4.63,0.04,0.04,0.08
NHB,15.0,115.28,0.48,0.32,0.8
HBC,15.0,0.0,0.0,0.0,0.0
HBSch,15.0,0.77,0.0,0.0,0.0
All,16.0,57.55,0.85,0.37,1.21
HBW,16.0,1.72,0.05,0.03,0.08
HBO,16.0,5.02,0.14,0.07,0.21
NHB,16.0,50.03,0.66,0.26,0.92
HBC,16.0,0.0,0.0,0.0,0.0
HBSch,16.0,0.78,0.0,0.0,0.0
All,17.0,56.03,0.78,0.54,1.32
HBW,17.0,6.85,0.07,0.1,0.16
HBO,17.0,37.98,0.68,0.43,1.11
NHB,17.0,3.41,0.03,0.02,0.04
HBC,17.0,0.0,0.0,0.0,0.0
HBSch,17.0,7.78,0.0,0.0,0.0
All,18.0,252.7,6.01,1.23,7.24
HBW,18.0,0.0,0.0,0.0,0.0
HBO,18.0,0.0,0.0,0.0,0.0
NHB,18.0,252.7,6.01,1.23,7.24
HBC,18.0,0.0,0.0,0.0,0.0
HBSch,18.0,0.0,0.0,0.0,0.0
All,19.0,1783.28,101.13,24.51,201.54
HBW,19.0,273.24,5.91,5.69,11.6
HBO,19.0,1082.55,85.75,17.1,102.85
NHB,19.0,262.4,8.71,1.51,10.23
HBC,19.0,0.0,0.0,0.0,0.0
HBSch,19.0,165.1,0.77,0.21,76.87
All,20.0,1184.17,81.94,17.1,130.99
HBW,20.0,206.25,6.31,4.61,10.93
HBO,20.0,673.69,65.13,11.03,76.16
NHB,20.0,234.6,10.17,1.37,11.54
HBC,20.0,0.0,0.0,0.0,0.0
HBSch,20.0,69.62,0.32,0.09,32.37
All,21.0,144.61,3.74,0.79,4.53
HBW,21.0,0.0,0.0,0.0,0.0
HBO,21.0,0.0,0.0,0.0,0.0
NHB,21.0,144.61,3.74,0.79,4.53
HBC,21.0,0.0,0.0,0.0,0.0
HBSch,21.0,0.0,0.0,0.0,0.0
All,22.0,19.72,0.71,0.25,0.96
HBW,22.0,2.68,0.11,0.05,0.16
HBO,22.0,10.83,0.47,0.17,0.64
NHB,22.0,4.59,0.13,0.03,0.16
HBC,22.0,0.0,0.0,0.0,0.0
HBSch,22.0,1.62,0.0,0.0,0.0
All,23.0,68.29,3.41,0.79,8.56
HBW,23.0,6.38,0.26,0.12,0.38
HBO,23.0,34.52,2.4,0.52,2.92
NHB,23.0,22.11,0.71,0.14,0.84
HBC,23.0,0.0,0.0,0.0,0.0
HBSch,23.0,5.28,0.04,0.01,4.41
All,24.0,1079.82,89.03,15.87,204.23
HBW,24.0,161.26,6.04,3.67,9.71
HBO,24.0,713.32,77.17,11.31,88.48
NHB,24.0,96.71,4.81,0.59,5.4
HBC,24.0,3.0,0.0,0.0,0.0
HBSch,24.0,105.53,1.0,0.3,100.64
All,25.0,2649.24,273.53,40.19,474.67
HBW,25.0,445.43,31.1,11.15,42.25
HBO,25.0,1558.1,210.99,25.74,236.73
NHB,25.0,467.62,29.82,2.81,32.63
HBC,25.0,7.0,0.0,0.0,0.0
HBSch,25.0,171.09,1.63,0.48,163.05
All,26.0,1296.2,145.28,20.19,195.36
HBW,26.0,209.71,19.55,6.07,25.63
HBO,26.0,604.11,94.19,11.41,105.6
NHB,26.0,439.39,31.23,2.62,33.85
HBC,26.0,2.0,0.0,0.0,0.0
HBSch,26.0,40.99,0.3,0.09,30.28
All,27.0,0.0,0.0,0.0,0.0
HBW,27.0,0.0,0.0,0.0,0.0
HBO,27.0,0.0,0.0,0.0,0.0
NHB,27.0,0.0,0.0,0.0,0.0
HBC,27.0,0.0,0.0,0.0,0.0
HBSch,27.0,0.0,0.0,0.0,0.0
All,28.0,45.86,2.38,0.5,3.18
HBW,28.0,4.17,0.32,0.11,0.43
HBO,28.0,11.64,0.96,0.21,1.17
NHB,28.0,29.03,1.1,0.18,1.28
