"TAZID","CityIdx","CITY_UGRC"
2168,5,"BDL"
2169,5,"BDL"
2170,5,"BDL"
2171,5,"BDL"
2172,5,"BDL"
2173,5,"BDL"
2174,5,"BDL"
2175,5,"BDL"
2176,5,"BDL"
2177,5,"BDL"
2178,5,"BDL"
2179,5,"BDL"
2180,5,"BDL"
2181,5,"BDL"
2182,5,"BDL"
2183,5,"BDL"
2184,5,"BDL"
2185,5,"BDL"
2186,5,"BDL"
2187,19,"EMT"
2188,19,"EMT"
2189,19,"EMT"
2190,82,"[Unincorporated]"
2191,82,"[Unincorporated]"
2192,7,"BRT"
2193,82,"[Unincorporated]"
2194,7,"BRT"
2195,7,"BRT"
2196,3,"ALA"
2197,82,"[Unincorporated]"
2198,82,"[Unincorporated]"
2199,82,"[Unincorporated]"
2200,82,"[Unincorporated]"
2201,82,"[Unincorporated]"
2202,82,"[Unincorporated]"
2203,82,"[Unincorporated]"
2204,82,"[Unincorporated]"
2205,82,"[Unincorporated]"
2206,82,"[Unincorporated]"
2207,82,"[Unincorporated]"
2208,82,"[Unincorporated]"
2209,82,"[Unincorporated]"
2210,82,"[Unincorporated]"
2211,82,"[Unincorporated]"
2212,82,"[Unincorporated]"
2213,82,"[Unincorporated]"
2214,7,"BRT"
2215,3,"ALA"
2216,82,"[Unincorporated]"
2217,82,"[Unincorporated]"
2218,82,"[Unincorporated]"
2219,20,"FFD"
2220,17,"EAG"
2221,20,"FFD"
2222,20,"FFD"
2223,20,"FFD"
2224,17,"EAG"
2225,17,"EAG"
2226,17,"EAG"
2227,17,"EAG"
2228,20,"FFD"
2229,20,"FFD"
2230,20,"FFD"
2231,20,"FFD"
2232,20,"FFD"
2233,17,"EAG"
2234,17,"EAG"
2235,17,"EAG"
2236,17,"EAG"
2237,17,"EAG"
2238,20,"FFD"
2239,20,"FFD"
2240,20,"FFD"
2241,20,"FFD"
2242,17,"EAG"
2243,17,"EAG"
2244,17,"EAG"
2245,17,"EAG"
2246,17,"EAG"
2247,17,"EAG"
2248,20,"FFD"
2249,17,"EAG"
2250,17,"EAG"
2251,17,"EAG"
2252,17,"EAG"
2253,17,"EAG"
2254,17,"EAG"
2255,17,"EAG"
2256,17,"EAG"
2257,17,"EAG"
2258,17,"EAG"
2259,17,"EAG"
2260,17,"EAG"
2261,17,"EAG"
2262,17,"EAG"
2263,17,"EAG"
2264,17,"EAG"
2265,17,"EAG"
2266,17,"EAG"
2267,17,"EAG"
2268,17,"EAG"
2269,17,"EAG"
2270,17,"EAG"
2271,17,"EAG"
2272,17,"EAG"
2273,17,"EAG"
2274,17,"EAG"
2275,17,"EAG"
2276,17,"EAG"
2277,17,"EAG"
2278,17,"EAG"
2279,17,"EAG"
2280,17,"EAG"
2281,9,"CDF"
2282,9,"CDF"
2283,9,"CDF"
2284,9,"CDF"
2285,9,"CDF"
2286,17,"EAG"
2287,17,"EAG"
2288,9,"CDF"
2289,9,"CDF"
2290,9,"CDF"
2291,9,"CDF"
2292,17,"EAG"
2293,17,"EAG"
2294,17,"EAG"
2295,17,"EAG"
2296,17,"EAG"
2297,17,"EAG"
2298,17,"EAG"
2299,17,"EAG"
2300,17,"EAG"
2301,17,"EAG"
2302,17,"EAG"
2303,17,"EAG"
2304,17,"EAG"
2305,17,"EAG"
2306,17,"EAG"
2307,17,"EAG"
2308,17,"EAG"
2309,17,"EAG"
2310,17,"EAG"
2311,17,"EAG"
2312,17,"EAG"
2313,17,"EAG"
2314,17,"EAG"
2315,17,"EAG"
2316,17,"EAG"
2317,17,"EAG"
2318,17,"EAG"
2319,17,"EAG"
2320,17,"EAG"
2321,9,"CDF"
2322,9,"CDF"
2323,9,"CDF"
2324,9,"CDF"
2325,17,"EAG"
2326,17,"EAG"
2327,9,"CDF"
2328,9,"CDF"
2329,9,"CDF"
2330,9,"CDF"
2331,17,"EAG"
2332,17,"EAG"
2333,9,"CDF"
2334,9,"CDF"
2335,17,"EAG"
2336,17,"EAG"
2337,17,"EAG"
2338,17,"EAG"
2339,17,"EAG"
2340,17,"EAG"
2341,17,"EAG"
2342,17,"EAG"
2343,17,"EAG"
2344,17,"EAG"
2345,17,"EAG"
2346,17,"EAG"
2347,17,"EAG"
2348,17,"EAG"
2349,17,"EAG"
2350,17,"EAG"
2351,17,"EAG"
2352,17,"EAG"
2353,17,"EAG"
2354,17,"EAG"
2355,17,"EAG"
2356,17,"EAG"
2357,17,"EAG"
2358,17,"EAG"
2359,17,"EAG"
2360,17,"EAG"
2361,17,"EAG"
2362,17,"EAG"
2363,17,"EAG"
2364,17,"EAG"
2365,17,"EAG"
2366,17,"EAG"
2367,17,"EAG"
2368,17,"EAG"
2369,17,"EAG"
2370,17,"EAG"
2371,17,"EAG"
2372,17,"EAG"
2373,17,"EAG"
2374,17,"EAG"
2375,17,"EAG"
2376,17,"EAG"
2377,17,"EAG"
2378,17,"EAG"
2379,17,"EAG"
2380,17,"EAG"
2381,17,"EAG"
2382,17,"EAG"
2383,17,"EAG"
2384,17,"EAG"
2385,17,"EAG"
2386,9,"CDF"
2387,9,"CDF"
2388,9,"CDF"
2389,9,"CDF"
2390,9,"CDF"
2391,17,"EAG"
2392,17,"EAG"
2393,17,"EAG"
2394,17,"EAG"
2395,17,"EAG"
2396,17,"EAG"
2397,17,"EAG"
2398,17,"EAG"
2399,17,"EAG"
2400,17,"EAG"
2401,17,"EAG"
2402,17,"EAG"
2403,17,"EAG"
2404,17,"EAG"
2405,17,"EAG"
2406,17,"EAG"
2407,17,"EAG"
2408,17,"EAG"
2409,17,"EAG"
2410,17,"EAG"
2411,17,"EAG"
2412,17,"EAG"
2413,17,"EAG"
2414,17,"EAG"
2415,17,"EAG"
2416,17,"EAG"
2417,17,"EAG"
2418,17,"EAG"
2419,17,"EAG"
2420,17,"EAG"
2421,17,"EAG"
2422,82,"[Unincorporated]"
2423,82,"[Unincorporated]"
2424,82,"[Unincorporated]"
2425,82,"[Unincorporated]"
2426,82,"[Unincorporated]"
2427,58,"SAR"
2428,58,"SAR"
2429,58,"SAR"
2430,58,"SAR"
2431,58,"SAR"
2432,58,"SAR"
2433,58,"SAR"
2434,58,"SAR"
2435,58,"SAR"
2436,58,"SAR"
2437,58,"SAR"
2438,58,"SAR"
2439,58,"SAR"
2440,58,"SAR"
2441,58,"SAR"
2442,58,"SAR"
2443,58,"SAR"
2444,58,"SAR"
2445,58,"SAR"
2446,58,"SAR"
2447,58,"SAR"
2448,58,"SAR"
2449,58,"SAR"
2450,58,"SAR"
2451,58,"SAR"
2452,58,"SAR"
2453,58,"SAR"
2454,58,"SAR"
2455,58,"SAR"
2456,58,"SAR"
2457,58,"SAR"
2458,58,"SAR"
2459,58,"SAR"
2460,58,"SAR"
2461,58,"SAR"
2462,58,"SAR"
2463,58,"SAR"
2464,58,"SAR"
2465,58,"SAR"
2466,17,"EAG"
2467,17,"EAG"
2468,58,"SAR"
2469,58,"SAR"
2470,58,"SAR"
2471,17,"EAG"
2472,17,"EAG"
2473,17,"EAG"
2474,58,"SAR"
2475,58,"SAR"
2476,58,"SAR"
2477,58,"SAR"
2478,58,"SAR"
2479,17,"EAG"
2480,17,"EAG"
2481,58,"SAR"
2482,58,"SAR"
2483,58,"SAR"
2484,58,"SAR"
2485,58,"SAR"
2486,58,"SAR"
2487,17,"EAG"
2488,58,"SAR"
2489,58,"SAR"
2490,58,"SAR"
2491,58,"SAR"
2492,58,"SAR"
2493,58,"SAR"
2494,58,"SAR"
2495,58,"SAR"
2496,58,"SAR"
2497,58,"SAR"
2498,58,"SAR"
2499,58,"SAR"
2500,17,"EAG"
2501,17,"EAG"
2502,58,"SAR"
2503,58,"SAR"
2504,58,"SAR"
2505,58,"SAR"
2506,58,"SAR"
2507,58,"SAR"
2508,58,"SAR"
2509,58,"SAR"
2510,58,"SAR"
2511,58,"SAR"
2512,58,"SAR"
2513,58,"SAR"
2514,58,"SAR"
2515,58,"SAR"
2516,34,"LEH"
2517,34,"LEH"
2518,58,"SAR"
2519,58,"SAR"
2520,34,"LEH"
2521,58,"SAR"
2522,58,"SAR"
2523,34,"LEH"
2524,34,"LEH"
2525,34,"LEH"
2526,34,"LEH"
2527,34,"LEH"
2528,34,"LEH"
2529,34,"LEH"
2530,34,"LEH"
2531,5,"BDL"
2532,34,"LEH"
2533,34,"LEH"
2534,34,"LEH"
2535,34,"LEH"
2536,5,"BDL"
2537,34,"LEH"
2538,34,"LEH"
2539,34,"LEH"
2540,34,"LEH"
2541,34,"LEH"
2542,34,"LEH"
2543,34,"LEH"
2544,34,"LEH"
2545,34,"LEH"
2546,34,"LEH"
2547,34,"LEH"
2548,34,"LEH"
2549,34,"LEH"
2550,34,"LEH"
2551,34,"LEH"
2552,34,"LEH"
2553,34,"LEH"
2554,34,"LEH"
2555,34,"LEH"
2556,34,"LEH"
2557,34,"LEH"
2558,34,"LEH"
2559,58,"SAR"
2560,58,"SAR"
2561,34,"LEH"
2562,34,"LEH"
2563,2,"AFK"
2564,2,"AFK"
2565,2,"AFK"
2566,2,"AFK"
2567,2,"AFK"
2568,2,"AFK"
2569,2,"AFK"
2570,2,"AFK"
2571,2,"AFK"
2572,58,"SAR"
2573,58,"SAR"
2574,34,"LEH"
2575,34,"LEH"
2576,34,"LEH"
2577,34,"LEH"
2578,34,"LEH"
2579,2,"AFK"
2580,2,"AFK"
2581,2,"AFK"
2582,2,"AFK"
2583,2,"AFK"
2584,2,"AFK"
2585,2,"AFK"
2586,2,"AFK"
2587,2,"AFK"
2588,2,"AFK"
2589,34,"LEH"
2590,34,"LEH"
2591,34,"LEH"
2592,34,"LEH"
2593,34,"LEH"
2594,34,"LEH"
2595,34,"LEH"
2596,34,"LEH"
2597,34,"LEH"
2598,34,"LEH"
2599,34,"LEH"
2600,34,"LEH"
2601,34,"LEH"
2602,34,"LEH"
2603,34,"LEH"
2604,2,"AFK"
2605,34,"LEH"
2606,34,"LEH"
2607,34,"LEH"
2608,34,"LEH"
2609,34,"LEH"
2610,34,"LEH"
2611,34,"LEH"
2612,34,"LEH"
2613,34,"LEH"
2614,34,"LEH"
2615,34,"LEH"
2616,34,"LEH"
2617,34,"LEH"
2618,34,"LEH"
2619,34,"LEH"
2620,34,"LEH"
2621,34,"LEH"
2622,34,"LEH"
2623,34,"LEH"
2624,34,"LEH"
2625,34,"LEH"
2626,34,"LEH"
2627,34,"LEH"
2628,34,"LEH"
2629,34,"LEH"
2630,34,"LEH"
2631,34,"LEH"
2632,34,"LEH"
2633,34,"LEH"
