SEGID,DIRECTION,DIRECTION_NAME,DY_VOL_GR1,DY_VOL_GR2,DY_VOL_GR3,DY_VOL_GR4,DY_VOL_TOTAL
0015_261.8,D2,SB,      46.0,      11.5,      23.0,         0,      80.5
0015_261.8,Both,Total,      59.4,       6.5,      13.0,         0,      79.0
0015_263.4,D1,NB,      86.7,         0,         0,         0,      86.7
0015_263.4,D2,SB,      47.4,      12.0,      24.9,         0,      84.3
0015_263.4,Both,Total,      67.2,       5.9,      12.4,         0,      85.5
0015_264.2,D1,NB,      86.5,         0,         0,         0,      86.5
0015_264.2,D2,SB,      47.5,      12.0,      25.0,         0,      84.6
0015_264.2,Both,Total,      66.7,       6.1,      12.7,         0,      85.5
0015_265.6,D1,NB,     103.6,       0.5,         0,         0,     104.1
0015_265.6,D2,SB,      58.9,      14.0,      32.5,         0,     105.4
0015_265.6,Both,Total,      81.3,       7.2,      16.2,         0,     104.7
0015_266.5,D1,NB,     103.8,       0.5,         0,         0,     104.3
0015_266.5,D2,SB,      59.2,      14.0,      32.6,         0,     105.9
0015_266.5,Both,Total,      81.3,       7.3,      16.4,         0,     105.1
0015_267.0,D1,NB,     104.1,       0.5,         0,         0,     104.6
0015_267.0,D2,SB,      58.9,      14.0,      32.4,         0,     105.3
0015_267.0,Both,Total,      81.5,       7.2,      16.2,         0,     105.0
0015_267.9,D1,NB,     104.1,       0.5,         0,         0,     104.6
0015_267.9,D2,SB,      59.0,      14.0,      32.5,         0,     105.6
0015_267.9,Both,Total,      80.0,       7.7,      17.4,         0,     105.1
0015_269.0,D1,NB,     146.5,       0.5,         0,         0,     147.0
0015_269.0,D2,SB,      82.5,      30.0,      58.5,         0,     171.0
0015_269.0,Both,Total,     115.4,      14.8,      28.4,         0,     158.7
0015_269.6,D1,NB,     145.2,       0.5,         0,         0,     145.7
0015_269.6,D2,SB,      83.4,      30.4,      59.2,         0,     173.0
0015_269.6,Both,Total,     114.6,      15.3,      29.4,         0,     159.3
0015_270.6,D1,NB,     185.7,       1.5,         0,       0.5,     187.7
0015_270.6,D2,SB,     100.5,      50.5,      85.0,         0,     235.9
0015_270.6,Both,Total,     143.1,      26.0,      42.5,       0.2,     211.8
0015_271.6,D1,NB,     224.7,       2.0,         0,       0.5,     227.3
0015_271.6,D2,SB,     120.4,      58.7,      97.5,         0,     276.7
0015_271.6,Both,Total,     176.6,      28.2,      45.0,       0.3,     250.1
0015_272.7,D1,EB,     131.8,      64.4,     108.9,         0,     305.1
0015_272.7,D2,WB,     223.2,       2.2,         0,       0.4,     225.8
0015_272.7,Both,Total,     180.3,      31.4,      51.2,       0.2,     263.1
0015_274.7,D1,EB,     131.8,      64.4,     108.9,         0,     305.1
0015_274.7,D2,WB,     246.0,       2.5,         0,       0.5,     249.0
0015_274.7,Both,Total,     189.1,      33.4,      54.3,       0.3,     277.0
0015_275.3,D1,EB,     146.1,      70.0,     121.6,         0,     337.7
0015_275.3,D2,WB,     280.0,       2.5,         0,       0.5,     283.0
0015_275.3,Both,Total,     218.1,      33.7,      56.2,       0.3,     308.3
0015_276.4,D1,EB,     158.1,      74.0,     130.1,         0,     362.2
0015_276.4,D2,WB,     300.3,       3.0,         0,       1.0,     304.3
0015_276.4,Both,Total,     224.2,      41.0,      69.6,       0.5,     335.3
0015_278.5,D1,EB,     171.1,      77.8,     141.0,         0,     389.9
0015_278.5,D2,WB,     358.0,       3.7,         0,       1.1,     362.9
0015_278.5,Both,Total,     262.0,      41.7,      72.4,       0.5,     376.8
0015_279.6,D1,EB,     201.7,      87.4,     156.5,         0,     445.7
0015_279.6,D2,WB,     382.7,       4.0,         0,       1.0,     387.7
0015_279.6,Both,Total,     291.4,      46.1,      79.0,       0.5,     416.9
0015_282.2,D1,NB,      94.6,      31.4,      56.2,         0,     182.2
0015_282.2,D2,SB,     161.5,      10.1,      15.7,       0.4,     187.7
0015_282.2,Both,Total,     122.4,      22.5,      39.3,       0.2,     184.5
0015_283.3,D1,NB,     316.5,       3.0,         0,       0.8,     320.3
0015_283.3,D2,SB,     122.6,      51.6,      92.6,         0,     266.8
0015_283.3,Both,Total,     210.4,      29.6,      50.7,       0.3,     291.0
0015_283.9,D1,NB,     588.4,       6.1,         0,       1.6,     596.1
0015_283.9,D2,SB,     284.7,     109.2,     206.7,         0,     600.5
0015_283.9,Both,Total,     430.1,      59.8,     107.7,       0.8,     598.4
0015_285.1,D1,EB,     285.3,     109.6,     208.2,         0,     603.1
0015_285.1,D2,WB,     553.6,       5.5,         0,       1.5,     560.6
0015_285.1,Both,Total,     425.8,      55.1,      99.1,       0.8,     580.8
0015_285.5,D1,NB,     554.4,       5.5,         0,       1.5,     561.4
0015_285.5,D2,SB,     286.5,     110.1,     209.2,         0,     605.8
0015_285.5,Both,Total,     418.9,      58.4,     105.8,       0.7,     583.9
0015_285.8,D1,NB,     554.1,       5.5,         0,       1.5,     561.1
0015_285.8,D2,SB,     285.6,     109.8,     208.7,         0,     604.1
0015_285.8,Both,Total,     419.0,      58.0,     105.0,       0.7,     582.7
0015_286.8,D1,NB,     539.4,       5.4,         0,       1.4,     546.2
0015_286.8,D2,SB,     281.3,     108.0,     205.7,         0,     595.0
0015_286.8,Both,Total,     408.6,      57.4,     104.3,       0.7,     570.9
0015_288.2,D1,NB,     585.3,       5.6,         0,         0,     590.9
0015_288.2,D2,SB,     293.9,     112.5,     212.7,         0,     619.1
0015_288.2,Both,Total,     442.1,      58.1,     104.5,         0,     604.7
0015_289.8,D1,NB,     412.1,       6.5,         0,         0,     418.5
0015_289.8,D2,SB,     323.2,     122.0,     221.3,         0,     666.5
0015_289.8,Both,Total,     376.9,      52.2,      87.7,         0,     516.8
0015_291.4,D1,NB,     467.7,     121.5,         0,      27.6,     616.8
