SEGID,DIRECTION,DIRECTION_NAME,DY_VOL_GR1,DY_VOL_GR2,DY_VOL_GR3,DY_VOL_GR4,DY_VOL_TOTAL
0015_343.1,D2,SB,         0,       1.0,         0,       3.0,       4.0
0015_343.1,Both,Total,       1.0,       0.5,         0,       2.0,       3.5
0015_343.9,D1,NB,       1.8,         0,         0,       1.0,       2.8
0015_343.9,D2,SB,         0,       1.0,         0,       3.2,       4.2
0015_343.9,Both,Total,       0.9,       0.5,         0,       2.1,       3.5
0015_345.0,D1,NB,       1.0,         0,         0,         0,       1.0
0015_345.0,D2,SB,         0,         0,         0,       3.0,       3.0
0015_345.0,Both,Total,       0.5,         0,         0,       1.5,       2.0
0015_346.7,D1,NB,         0,         0,         0,         0,         0
0015_346.7,D2,SB,         0,         0,         0,       3.1,       3.1
0015_346.7,Both,Total,         0,         0,         0,       1.5,       1.5
0015_349.4,D1,NB,         0,         0,         0,         0,         0
0015_349.4,D2,SB,         0,         0,         0,       2.0,       2.0
0015_349.4,Both,Total,         0,         0,         0,       1.0,       1.0
0015_351.9,D1,NB,         0,         0,         0,         0,         0
0015_351.9,D2,SB,         0,         0,         0,       2.0,       2.0
0015_351.9,Both,Total,         0,         0,         0,       1.0,       1.0
0015_357.6,D1,EB,         0,         0,         0,         0,         0
0015_357.6,D2,SB,         0,         0,         0,       2.0,       2.0
0015_357.6,Both,Total,         0,         0,         0,       1.0,       1.0
0015_362.0,D1,NB,         0,         0,         0,         0,         0
0015_362.0,D2,SB,         0,         0,         0,       2.0,       2.0
0015_362.0,Both,Total,         0,         0,         0,       1.0,       1.0
0015_363.7,D1,NB,         0,         0,         0,         0,         0
0015_363.7,D2,SB,         0,         0,         0,       2.0,       2.0
0015_363.7,Both,Total,         0,         0,         0,       1.0,       1.0
0015_365.5,D1,NB,         0,         0,         0,         0,         0
0015_365.5,D2,SB,         0,         0,         0,       2.0,       2.0
0015_365.5,Both,Total,         0,         0,         0,       1.0,       1.0
0026_000.0,D1,EB,         0,         0,         0,         0,         0
0026_000.0,D2,WB,         0,         0,         0,         0,         0
0026_000.0,Both,Total,         0,         0,         0,         0,         0
0026_000.2,D1,EB,         0,         0,         0,         0,         0
0026_000.2,D2,WB,         0,         0,         0,         0,         0
0026_000.2,Both,Total,         0,         0,         0,         0,         0
0026_000.4,D1,EB,         0,         0,         0,       4.0,       4.0
0026_000.4,D2,WB,         0,         0,       1.0,         0,       1.0
0026_000.4,Both,Total,         0,         0,       0.5,       2.0,       2.5
0026_000.7,D1,EB,         0,         0,         0,       2.0,       2.0
0026_000.7,D2,WB,         0,         0,       1.0,         0,       1.0
0026_000.7,Both,Total,         0,         0,       0.5,       1.0,       1.5
0026_001.0,D1,EB,         0,         0,         0,       2.0,       2.0
0026_001.0,D2,WB,         0,         0,       1.0,       1.0,       2.0
0026_001.0,Both,Total,         0,         0,       0.5,       1.5,       2.0
0026_001.3,D1,EB,         0,         0,         0,         0,         0
0026_001.3,D2,WB,         0,         0,       1.0,       1.0,       2.0
0026_001.3,Both,Total,         0,         0,       0.5,       0.5,       1.0
0026_001.8,D1,EB,         0,         0,         0,         0,         0
0026_001.8,D2,WB,         0,         0,       0.8,       0.8,       1.5
0026_001.8,Both,Total,         0,         0,       0.4,       0.4,       0.8
0026_002.7,D1,NB,         0,         0,         0,         0,         0
0026_002.7,D2,SB,         0,         0,         0,         0,         0
0026_002.7,Both,Total,         0,         0,         0,         0,         0
0026_003.0,D1,NB,         0,         0,         0,         0,         0
0026_003.0,D2,SB,         0,         0,         0,         0,         0
0026_003.0,Both,Total,         0,         0,         0,         0,         0
0026_003.2,D1,NB,         0,         0,         0,         0,         0
0026_003.2,D2,SB,         0,         0,         0,         0,         0
0026_003.2,Both,Total,         0,         0,         0,         0,         0
0026_003.3,D1,NB,         0,         0,         0,         0,         0
0026_003.3,D2,SB,         0,         0,         0,         0,         0
0026_003.3,Both,Total,         0,         0,         0,         0,         0
0026_003.5,D1,NB,         0,         0,         0,         0,         0
0026_003.5,D2,SB,         0,         0,         0,         0,         0
0026_003.5,Both,Total,         0,         0,         0,         0,         0
0037_000.0,D1,EB,         0,         0,         0,         0,         0
0037_000.0,D2,WB,         0,         0,         0,         0,         0
0037_000.0,Both,Total,         0,         0,         0,         0,         0
0037_001.0,D1,EB,         0,         0,         0,         0,         0
0037_001.0,D2,WB,         0,         0,         0,         0,         0
0037_001.0,Both,Total,         0,         0,         0,         0,         0
0037_001.5,D1,EB,         0,         0,         0,         0,         0
0037_001.5,D2,WB,         0,         0,         0,         0,         0
0037_001.5,Both,Total,         0,         0,         0,         0,         0
0037_002.0,D1,EB,         0,         0,         0,         0,         0
0037_002.0,D2,WB,         0,         0,         0,         0,         0
0037_002.0,Both,Total,         0,         0,         0,         0,         0
0037_003.0,D1,EB,         0,         0,         0,         0,         0
0037_003.0,D2,WB,         0,         0,         0,         0,         0
0037_003.0,Both,Total,         0,         0,         0,         0,         0
0037_003.5,D1,EB,         0,         0,         0,         0,         0
0037_003.5,D2,WB,         0,         0,         0,         0,         0
0037_003.5,Both,Total,         0,         0,         0,         0,         0
0037_004.1,D1,EB,         0,         0,         0,         0,         0
0037_004.1,D2,WB,         0,         0,         0,         0,         0
0037_004.1,Both,Total,         0,         0,         0,         0,         0
0037_004.5,D1,EB,         0,         0,         0,         0,         0
0037_004.5,D2,SB,         0,         0,         0,         0,         0
0037_004.5,Both,Total,         0,         0,         0,         0,         0
0037_005.7,D1,NB,         0,         0,         0,         0,         0
0037_005.7,D2,SB,         0,         0,         0,         0,         0
0037_005.7,Both,Total,         0,         0,         0,         0,         0
0037_006.2,D1,NB,         0,         0,         0,         0,         0
0037_006.2,D2,SB,         0,         0,         0,         0,         0
0037_006.2,Both,Total,         0,         0,         0,         0,         0
0037_006.7,D1,NB,         0,         0,         0,         0,         0
0037_006.7,D2,SB,         0,         0,         0,         0,         0
0037_006.7,Both,Total,         0,         0,         0,         0,         0
0037_007.2,D1,NB,         0,         0,         0,         0,         0
0037_007.2,D2,SB,         0,         0,         0,         0,         0
0037_007.2,Both,Total,         0,         0,         0,         0,         0
