SEGID,DISTANCE,DIRECTION,FUNCGROUP,SUBAREAID,CO_FIPS,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,Both,Total,       1.0,      49.0,       2.0,      11.7,Principal Arterial,      1065,     242.2,     542.8,     344.4,     432.8,    1562.2,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     6.152,     6.152,     6.152,     6.152,     6.153,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,    1415.3,    3171.8,    2012.4,    2529.0,    9128.5,    1152.3,    2470.6,    1527.5,    1944.7,    7095.1,         0,         0,         0,         0,         0,     169.5,     414.9,     327.2,     309.7,    1221.3,      93.5,     286.3,     157.8,     274.6,     812.2,    160.17,     24.83,     55.65,     35.31,     44.38,    160.17,     0.002,     0.002,         0,     0.011,     0.015
0006_146.9,     3.039,Both,Total,       1.0,      49.0,       2.0,       6.1,Principal Arterial,      1065,     244.0,     544.6,     346.9,     434.3,    1569.8,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     3.199,     3.199,     3.199,     3.199,     3.199,      6390,     12780,      6390,     25560,     51120,      0.06,      0.05,      0.07,      0.02,      0.07,     741.5,    1655.1,    1054.2,    1319.9,    4770.7,     604.7,    1290.3,     802.0,    1016.0,    3713.0,         0,         0,         0,         0,         0,      88.2,     215.8,     170.2,     161.0,     635.2,      48.6,     148.9,      82.1,     142.8,     422.4,     83.69,     13.01,     29.04,     18.49,     23.15,     83.69,         0,         0,     0.001,         0,     0.001
0006_149.9,     0.678,Both,Total,       1.0,      49.0,       2.0,       1.4,Principal Arterial,      1065,     489.1,     732.6,     630.6,     612.6,    2464.9,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     0.714,     0.714,     0.714,     0.714,     0.714,      6390,     12780,      6390,     25560,     51120,      0.13,      0.07,      0.13,      0.03,      0.13,     331.6,     496.7,     427.5,     415.4,    1671.2,     280.0,     388.2,     354.7,     347.5,    1370.4,       4.1,      21.7,       6.1,       3.4,      35.3,      32.6,      53.6,      45.9,      35.3,     167.4,      14.9,      33.2,      21.0,      29.1,      98.2,     29.31,      5.81,      8.71,      7.50,      7.29,     29.31,         0,     0.002,         0,     0.005,     0.007
0006_150.6,     1.973,Both,Total,       1.0,      49.0,       2.0,       3.9,Principal Arterial,      1065,     565.0,     865.5,     739.9,     725.3,    2895.7,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     2.077,     2.078,     2.077,     2.077,     2.077,      6390,     12780,      6390,     25560,     51120,      0.14,      0.09,      0.15,      0.03,      0.15,    1114.8,    1707.7,    1459.9,    1431.1,    5713.5,     926.9,    1313.5,    1209.9,    1196.5,    4646.8,      14.2,      86.7,      27.0,      14.0,     141.9,     127.6,     189.6,     156.9,     122.1,     596.2,      46.0,     118.0,      66.1,      98.4,     328.5,    100.24,     19.56,     29.96,     25.62,     25.11,    100.25,     0.008,         0,     0.003,         0,     0.011
0006_152.6,     0.316,Both,Total,       1.0,      49.0,       2.0,       0.6,Minor Arterial,       983,     823.0,    1300.0,    1067.8,    1038.8,    4229.6,      46.0,      46.0,      46.0,      45.9,      46.0,      46.0,     0.412,     0.413,     0.412,     0.413,     0.412,      5898,     11796,      5898,     23592,     47184,      0.22,      0.13,      0.23,      0.05,      0.23,     260.3,     411.2,     337.7,     328.5,    1337.7,     220.0,     318.1,     282.8,     277.6,    1098.5,       3.1,      21.9,       7.3,       4.5,      36.8,      27.0,      42.5,      33.4,      26.9,     129.8,      10.1,      28.8,      14.2,      19.7,      72.8,     29.06,      5.66,      8.93,      7.35,      7.14,     29.08,     0.013,         0,     0.019,         0,     0.032
0006_152.9,     2.923,Both,Total,       1.0,      49.0,       2.0,       5.8,Principal Arterial,      1052,    1089.0,    1873.1,    1432.1,    1496.4,    5890.6,      55.0,      54.9,      55.0,      54.8,      55.0,      54.9,     3.188,     3.195,     3.190,     3.198,     3.188,      6311,     12622,      6311,     25243,     50487,      0.26,      0.17,      0.28,      0.07,      0.28,    3183.4,    5475.5,    4186.4,    4374.4,   17219.7,    2741.4,    4408.8,    3601.1,    3808.7,   14560.0,      38.0,     247.9,      91.8,      50.3,     428.0,     301.7,     504.0,     356.9,     303.1,    1465.7,     102.3,     314.8,     136.5,     212.2,     765.8,    312.98,     57.99,     99.59,     76.33,     79.51,    313.42,     0.130,     0.069,     0.239,         0,     0.438
0006_155.8,     0.202,Both,Total,       1.0,      49.0,       2.0,       0.4,Principal Arterial,      1065,    1100.7,    1893.3,    1446.3,    1520.2,    5960.5,      57.0,      56.9,      57.0,      56.8,      57.0,      56.9,     0.212,     0.213,     0.213,     0.213,     0.212,      6390,     12780,      6390,     25560,     51120,      0.26,      0.17,      0.28,      0.07,      0.28,     221.9,     381.7,     291.6,     306.6,    1201.8,     191.4,     307.9,     251.1,     267.2,    1017.6,       2.6,      17.2,       6.2,       3.4,      29.4,      20.9,      35.0,      24.8,      21.2,     101.9,       7.0,      21.8,       9.4,      14.8,      53.0,     21.09,      3.90,      6.70,      5.13,      5.38,     21.11,     0.014,     0.010,     0.015,     0.001,     0.040
0006_155.9,     1.316,Both,Total,       1.0,      49.0,       2.0,       2.6,Principal Arterial,      1016,    1624.1,    2915.1,    2137.9,    2418.2,    9095.3,      48.0,      45.4,      47.4,      43.8,      48.0,      46.3,     1.645,     1.743,     1.668,     1.804,     1.646,      6096,     12192,      6096,     24384,     48768,      0.40,      0.27,      0.45,      0.12,      0.45,    2137.3,    3836.3,    2813.5,    3182.4,   11969.5,    1881.3,    3158.1,    2481.9,    2832.4,   10353.7,      25.8,     170.0,      53.4,      40.8,     290.0,     168.7,     303.0,     207.9,     183.2,     862.8,      61.4,     205.2,      70.3,     126.0,     462.9,    249.41,     47.10,     81.02,     64.17,     66.35,    258.64,     2.644,     1.085,     5.651,     0.037,     9.417
0006_157.3,     0.250,Both,Total,       1.0,      49.0,       2.0,       0.5,Principal Arterial,      1016,    2946.5,    5164.4,    3794.4,    4417.2,   16322.5,      48.0,      43.1,      46.8,      40.8,      48.0,      44.9,     0.312,     0.348,     0.320,     0.368,     0.312,      6096,     12192,      6096,     24384,     48768,      0.72,      0.47,      0.81,      0.22,      0.81,     735.7,    1289.4,     947.4,    1102.9,    4075.4,     657.7,    1082.7,     850.1,     997.4,    3587.9,       9.2,      51.0,      15.9,      14.4,      90.5,      49.4,      92.4,      60.4,      55.3,     257.5,      19.2,      63.5,      20.9,      35.7,     139.3,     84.82,     17.06,     27.56,     23.22,     22.97,     90.81,     1.800,     0.719,     3.562,     0.022,     6.103
0006_157.6,     0.918,Both,Total,       1.0,      49.0,       2.0,       1.8,Principal Arterial,      1060,    2908.9,    5082.6,    3647.4,    4344.5,   15983.4,      55.9,      51.5,      54.7,      49.9,      55.8,      53.2,     0.986,     1.073,     1.008,     1.106,     0.987,      6358,     12717,      6358,     25434,     50867,      0.67,      0.44,      0.73,      0.21,      0.73,    2671.4,    4667.6,    3349.6,    3989.8,   14678.4,    2385.1,    3910.1,    3010.1,    3601.7,   12907.0,      32.9,     182.6,      54.2,      50.6,     320.3,     180.7,     340.0,     209.8,     206.0,     936.5,      72.6,     234.9,      75.5,     131.4,     514.4,    262.79,     51.89,     85.38,     67.09,     71.49,    275.85,     4.198,     1.811,     7.242,     0.062,    13.313
