SEGID,DISTANCE,DIRECTION,FUNCGROUP,SUBAREAID,CO_FIPS,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,DY_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,Both,Total,       1.0,      49.0,       2.0,      11.7,Principal Arterial,      1065,     335.2,     691.7,     453.7,     543.2,    2023.8,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     6.152,     6.152,     6.152,     6.152,     6.152,     6.152,      6390,     12780,      6390,     25560,     51120,      0.09,      0.07,      0.09,      0.03,      0.09,    1958.7,    4041.8,    2651.1,    3174.1,   11825.7,    1578.8,    3206.3,    2008.4,    2513.8,    9307.3,         0,         0,         0,         0,         0,     251.2,     479.1,     461.6,     356.4,    1548.3,     128.5,     356.5,     181.1,     303.8,     969.9,    207.50,     34.37,     70.92,     46.52,     55.69,    207.50,         0,     0.004,     0.002,     0.003,     0.009
0006_146.9,     3.039,Both,Total,       1.0,      49.0,       2.0,       6.1,Principal Arterial,      1065,     335.2,     691.7,     453.7,     543.2,    2023.8,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     3.199,     3.200,     3.199,     3.199,     3.199,     3.199,      6390,     12780,      6390,     25560,     51120,      0.09,      0.07,      0.09,      0.03,      0.09,    1018.7,    2102.1,    1378.9,    1650.8,    6150.5,     821.2,    1667.5,    1044.5,    1307.4,    4840.6,         0,         0,         0,         0,         0,     130.7,     249.2,     240.0,     185.4,     805.3,      66.9,     185.4,      94.2,     158.0,     504.5,    107.90,     17.87,     36.88,     24.19,     28.96,    107.90,     0.006,         0,         0,         0,     0.006
0006_149.9,     0.678,Both,Total,       1.0,      49.0,       2.0,       1.4,Principal Arterial,      1065,     430.6,     778.7,     741.0,     630.3,    2580.6,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     0.714,     0.714,     0.714,     0.714,     0.714,     0.714,      6390,     12780,      6390,     25560,     51120,      0.09,      0.08,      0.16,      0.03,      0.16,     292.0,     528.0,     502.4,     427.3,    1749.7,     245.7,     411.5,     429.7,     354.8,    1441.7,       1.4,      19.7,       9.5,       6.7,      37.3,      31.3,      65.1,      44.9,      38.0,     179.3,      13.6,      31.7,      18.3,      27.8,      91.4,     30.69,      5.12,      9.26,      8.81,      7.50,     30.69,         0,     0.002,     0.003,         0,     0.005
0006_150.6,     1.973,Both,Total,       1.0,      49.0,       2.0,       3.9,Principal Arterial,      1065,     523.6,     924.6,     846.1,     759.6,    3053.9,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     2.077,     2.078,     2.078,     2.078,     2.077,     2.077,      6390,     12780,      6390,     25560,     51120,      0.10,      0.09,      0.18,      0.04,      0.18,    1033.2,    1824.3,    1669.4,    1498.8,    6025.7,     859.9,    1382.7,    1418.3,    1242.7,    4903.6,       5.6,      86.7,      40.3,      26.4,     159.0,     120.5,     235.6,     155.1,     130.8,     642.0,      47.2,     119.3,      55.8,      98.8,     321.1,    105.72,     18.12,     32.00,     29.31,     26.30,    105.73,     0.005,     0.014,     0.008,         0,     0.027
0006_152.6,     0.316,Both,Total,       1.0,      49.0,       2.0,       0.6,Minor Arterial,       983,     693.7,    1253.8,    1070.1,    1054.3,    4071.9,      46.0,      46.0,      46.0,      46.0,      46.0,      46.0,     0.412,     0.412,     0.412,     0.412,     0.412,     0.412,      5898,     11796,      5898,     23592,     47184,      0.15,      0.13,      0.23,      0.05,      0.23,     219.4,     396.5,     338.5,     333.5,    1287.9,     184.2,     301.1,     287.1,     274.9,    1047.3,       0.6,      20.6,       8.5,       6.3,      36.0,      25.4,      48.8,      31.4,      31.3,     136.9,       9.2,      26.1,      11.4,      20.9,      67.6,     27.98,      4.76,      8.61,      7.36,      7.24,     27.97,         0,         0,     0.003,         0,     0.003
0006_152.9,     2.923,Both,Total,       1.0,      49.0,       2.0,       5.8,Principal Arterial,      1052,     993.1,    1836.0,    1293.7,    1497.7,    5620.5,      55.0,      54.9,      55.0,      54.9,      55.0,      54.9,     3.190,     3.193,     3.192,     3.196,     3.190,     3.192,      6311,     12622,      6311,     25243,     50487,      0.20,      0.17,      0.25,      0.07,      0.25,    2903.0,    5367.0,    3781.8,    4378.1,   16429.9,    2468.3,    4236.9,    3215.3,    3722.5,   13643.0,      17.0,     238.3,      95.6,      70.2,     421.1,     307.8,     551.7,     354.1,     353.4,    1567.0,     109.9,     340.3,     116.9,     232.1,     799.2,    298.83,     52.84,     97.66,     68.92,     79.62,    299.04,     0.042,     0.051,     0.131,         0,     0.224
0006_155.8,     0.202,Both,Total,       1.0,      49.0,       2.0,       0.4,Principal Arterial,      1065,    1000.7,    1851.4,    1302.9,    1513.5,    5668.5,      57.0,      56.8,      57.0,      56.9,      57.0,      57.0,     0.212,     0.212,     0.212,     0.212,     0.213,     0.212,      6390,     12780,      6390,     25560,     51120,      0.20,      0.17,      0.25,      0.07,      0.25,     201.8,     373.3,     262.7,     305.2,    1143.0,     171.3,     294.8,     223.3,     259.6,     949.0,       1.2,      16.6,       6.6,       4.8,      29.2,      21.5,      38.2,      24.7,      24.6,     109.0,       7.6,      23.7,       8.0,      16.2,      55.5,     20.06,      3.55,      6.55,      4.62,      5.35,     20.07,     0.003,         0,     0.002,     0.005,     0.010
0006_155.9,     1.316,Both,Total,       1.0,      49.0,       3.0,       3.9,Principal Arterial,       996,    1160.1,    2336.2,    1622.8,    1979.1,    7098.2,      48.0,      47.9,      47.9,      47.8,      48.0,      47.9,     1.645,     1.649,     1.647,     1.650,     1.645,     1.648,      8898,     17796,      8898,     35592,     71184,      0.25,      0.22,      0.30,      0.08,      0.30,    1526.7,    3074.4,    2135.6,    2604.5,    9341.2,    1306.5,    2441.8,    1832.9,    2264.1,    7845.3,      15.8,     156.9,      60.0,      48.3,     281.0,     158.5,     299.2,     185.8,     175.5,     819.0,      46.1,     176.8,      56.8,     116.6,     396.3,    194.65,     31.88,     64.14,     44.64,     54.27,    194.93,     0.067,     0.076,     0.135,         0,     0.278
0006_157.3,     0.250,Both,Total,       1.0,      49.0,       3.0,       0.7,Principal Arterial,       996,    2311.9,    4676.6,    3279.9,    3974.9,   14243.3,      48.0,      46.7,      47.5,      46.9,      48.0,      47.4,     0.312,     0.321,     0.315,     0.319,     0.312,     0.316,      8898,     17796,      8898,     35592,     71184,      0.52,      0.43,      0.53,      0.16,      0.53,     577.2,    1167.6,     818.9,     992.4,    3556.1,     497.0,     953.3,     715.8,     885.3,    3051.4,       8.4,      59.2,      20.2,      15.5,     103.3,      53.3,      96.8,      62.9,      58.4,     271.4,      18.5,      58.4,      20.0,      33.2,     130.1,     74.02,     12.37,     24.56,     17.46,     20.66,     75.05,     0.355,     0.266,     0.413,     0.004,     1.038
0006_157.6,     0.918,Both,Total,       1.0,      49.0,       3.0,       2.8,Principal Arterial,      1026,    2374.9,    4801.3,    3333.1,    4089.1,   14598.4,      53.3,      52.6,      52.7,      51.4,      53.2,      52.5,     1.035,     1.048,     1.045,     1.073,     1.035,     1.049,      9226,     18452,      9226,     36904,     73808,      0.31,      0.42,      0.61,      0.19,      0.61,    2181.0,    4409.3,    3060.9,    3755.2,   13406.4,    1883.3,    3599.5,    2678.1,    3354.5,   11515.4,      32.1,     217.2,      71.3,      56.0,     376.6,     193.7,     371.0,     237.6,     219.0,    1021.3,      71.8,     221.6,      73.9,     125.8,     493.1,    251.74,     41.46,     83.60,     59.60,     70.53,    255.19,     0.516,     0.811,     2.139,     0.014,     3.480
