Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn
All,Pk,P,      1.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,A,      1.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,P,      1.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,A,      1.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,P,      1.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,A,      1.00,         0,         0,         0,         0,         0,         0,         0
NHB,Pk,P,      1.00,         0,         0,         0,         0,         0,         0,         0
NHB,Pk,A,      1.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,P,      1.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,      1.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,      1.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,A,      1.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,      2.00,     55.52,     53.56,      0.19,     53.56,      1.96,      1.43,         0
All,Pk,A,      2.00,     27.18,     25.58,      0.13,     25.58,      1.60,      1.46,         0
HBW,Pk,P,      2.00,     15.09,     15.04,      0.05,     15.04,      0.05,      0.00,         0
HBW,Pk,A,      2.00,      2.74,      2.74,         0,      2.74,         0,         0,         0
HBO,Pk,P,      2.00,     33.55,     32.09,      0.13,     32.09,      1.46,      1.33,         0
HBO,Pk,A,      2.00,     20.18,     18.69,      0.12,     18.69,      1.49,      1.36,         0
NHB,Pk,P,      2.00,      4.42,      4.31,      0.01,      4.31,      0.11,      0.10,         0
NHB,Pk,A,      2.00,      4.26,      4.15,      0.01,      4.15,      0.11,      0.10,         0
HBC,Pk,P,      2.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,      2.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,      2.00,      2.46,      2.12,      0.00,      2.12,      0.34,      0.00,         0
HBSch,Pk,A,      2.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,      3.00,     88.94,     83.91,      0.48,     84.37,      4.57,      3.55,      0.46
All,Pk,A,      3.00,     40.26,     36.90,      0.21,     36.90,      3.36,      3.15,         0
HBW,Pk,P,      3.00,     22.43,     22.10,      0.15,     22.26,      0.18,      0.03,      0.16
HBW,Pk,A,      3.00,      4.16,      4.16,         0,      4.16,         0,         0,         0
HBO,Pk,P,      3.00,     55.26,     51.29,      0.31,     51.59,      3.67,      3.35,      0.31
HBO,Pk,A,      3.00,     29.30,     26.12,      0.20,     26.12,      3.18,      2.98,         0
NHB,Pk,P,      3.00,      7.07,      6.89,      0.01,      6.89,      0.18,      0.17,      0.00
NHB,Pk,A,      3.00,      6.80,      6.62,      0.02,      6.62,      0.18,      0.17,         0
HBC,Pk,P,      3.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,      3.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,      3.00,      4.18,      3.63,      0.00,      3.63,      0.54,      0.01,         0
HBSch,Pk,A,      3.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,      4.00,      0.20,      0.19,      0.00,      0.19,      0.01,      0.00,         0
All,Pk,A,      4.00,      0.92,      0.89,      0.00,      0.89,      0.03,      0.02,         0
HBW,Pk,P,      4.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,A,      4.00,      0.13,      0.13,         0,      0.13,         0,         0,         0
HBO,Pk,P,      4.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,A,      4.00,      0.74,      0.71,      0.00,      0.71,      0.03,      0.02,         0
NHB,Pk,P,      4.00,      0.03,      0.03,      0.00,      0.03,      0.00,      0.00,         0
NHB,Pk,A,      4.00,      0.05,      0.05,      0.00,      0.05,      0.00,      0.00,         0
HBC,Pk,P,      4.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,      4.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,      4.00,      0.17,      0.16,         0,      0.16,      0.01,      0.00,         0
HBSch,Pk,A,      4.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,      5.00,    273.33,    260.32,      1.65,    260.32,     13.01,      8.98,         0
All,Pk,A,      5.00,    123.04,    113.52,      0.77,    113.52,      9.52,      8.75,         0
HBW,Pk,P,      5.00,     66.17,     65.36,      0.58,     65.36,      0.81,      0.22,         0
HBW,Pk,A,      5.00,     15.82,     15.60,      0.05,     15.60,      0.22,      0.17,         0
HBO,Pk,P,      5.00,    164.01,    154.70,      1.00,    154.70,      9.30,      8.30,         0
HBO,Pk,A,      5.00,     87.35,     78.54,      0.66,     78.54,      8.81,      8.15,         0
NHB,Pk,P,      5.00,     21.24,     20.76,      0.06,     20.76,      0.49,      0.43,         0
NHB,Pk,A,      5.00,     19.87,     19.38,      0.06,     19.38,      0.49,      0.43,         0
HBC,Pk,P,      5.00,      6.00,      6.00,         0,      6.00,         0,         0,         0
HBC,Pk,A,      5.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,      5.00,     15.91,     13.50,      0.00,     13.50,      2.41,      0.02,         0
HBSch,Pk,A,      5.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,      6.00,     10.73,     10.16,      0.07,     10.19,      0.54,      0.40,      0.02
All,Pk,A,      6.00,     16.95,     16.33,      0.09,     16.33,      0.62,      0.54,         0
HBW,Pk,P,      6.00,      2.80,      2.74,      0.03,      2.74,      0.06,      0.03,      0.00
