SUBAREAID,PERIOD,TRIPPURP,MODE,TRIPS
1,pk,HBW,Walk,25410
1,pk,HBC,Walk,28492
1,pk,HBO,Walk,190276
1,pk,NHB,Walk,66811
1,pk,HBSch,Walk,68601
1,pk,HBW,Bike,16242
1,pk,HBC,Bike,2493
1,pk,HBO,Bike,23324
1,pk,NHB,Bike,7170
1,pk,HBSch,Bike,9412
1,pk,HBW,Auto,1115621
1,pk,HBC,Auto,93915
1,pk,HBO,Auto,2226602
1,pk,NHB,Auto,1051888
1,pk,HBSch,Auto,320010
1,pk,HBW,RegAuto,1115413
1,pk,HBC,RegAuto,93915
1,pk,HBO,RegAuto,2225500
1,pk,NHB,RegAuto,1051477
1,pk,HBSch,RegAuto,320010
1,pk,HBW,IMZD2D,208
1,pk,HBC,IMZD2D,0
1,pk,HBO,IMZD2D,1102
1,pk,NHB,IMZD2D,411
1,pk,HBSch,IMZD2D,0
1,pk,HBW,SchoolBus,0
1,pk,HBC,SchoolBus,0
1,pk,HBO,SchoolBus,0
1,pk,NHB,SchoolBus,0
1,pk,HBSch,SchoolBus,54965
1,pk,HBW,LCL,1936
1,pk,HBC,LCL,3967
1,pk,HBO,LCL,1051
1,pk,NHB,LCL,170
1,pk,HBSch,LCL,0
1,pk,HBW,COR,15860
1,pk,HBC,COR,8334
1,pk,HBO,COR,9476
1,pk,NHB,COR,1300
1,pk,HBSch,COR,0
1,pk,HBW,BRT,5892
1,pk,HBC,BRT,6321
1,pk,HBO,BRT,3027
1,pk,NHB,BRT,628
1,pk,HBSch,BRT,0
1,pk,HBW,EXP,359
1,pk,HBC,EXP,50
1,pk,HBO,EXP,22
1,pk,NHB,EXP,12
1,pk,HBSch,EXP,0
1,pk,HBW,LRT,7863
1,pk,HBC,LRT,4560
1,pk,HBO,LRT,4061
1,pk,NHB,LRT,468
1,pk,HBSch,LRT,0
1,pk,HBW,CRT,19143
1,pk,HBC,CRT,6915
1,pk,HBO,CRT,3313
1,pk,NHB,CRT,596
1,pk,HBSch,CRT,0
1,ok,HBW,Walk,36250
1,ok,HBC,Walk,0
1,ok,HBO,Walk,368574
1,ok,NHB,Walk,168092
1,ok,HBSch,Walk,38451
1,ok,HBW,Bike,11053
1,ok,HBC,Bike,0
1,ok,HBO,Bike,49391
1,ok,NHB,Bike,15710
1,ok,HBSch,Bike,5224
1,ok,HBW,Auto,1016767
1,ok,HBC,Auto,0
1,ok,HBO,Auto,4380641
1,ok,NHB,Auto,2099627
1,ok,HBSch,Auto,179741
1,ok,HBW,RegAuto,1016620
1,ok,HBC,RegAuto,0
1,ok,HBO,RegAuto,4378974
1,ok,NHB,RegAuto,2099000
1,ok,HBSch,RegAuto,179741
1,ok,HBW,IMZD2D,147
1,ok,HBC,IMZD2D,0
1,ok,HBO,IMZD2D,1667
1,ok,NHB,IMZD2D,627
1,ok,HBSch,IMZD2D,0
1,ok,HBW,SchoolBus,0
1,ok,HBC,SchoolBus,0
1,ok,HBO,SchoolBus,0
1,ok,NHB,SchoolBus,0
1,ok,HBSch,SchoolBus,30672
1,ok,HBW,LCL,1415
1,ok,HBC,LCL,0
1,ok,HBO,LCL,2955
1,ok,NHB,LCL,400
1,ok,HBSch,LCL,0
1,ok,HBW,COR,13293
1,ok,HBC,COR,0
1,ok,HBO,COR,23134
1,ok,NHB,COR,3281
1,ok,HBSch,COR,0
1,ok,HBW,BRT,2363
1,ok,HBC,BRT,0
1,ok,HBO,BRT,6590
1,ok,NHB,BRT,2551
1,ok,HBSch,BRT,0
1,ok,HBW,EXP,0
1,ok,HBC,EXP,0
1,ok,HBO,EXP,0
1,ok,NHB,EXP,0
1,ok,HBSch,EXP,0
1,ok,HBW,LRT,6241
1,ok,HBC,LRT,0
1,ok,HBO,LRT,9192
1,ok,NHB,LRT,1315
1,ok,HBSch,LRT,0
1,ok,HBW,CRT,9456
1,ok,HBC,CRT,0
1,ok,HBO,CRT,6727
1,ok,NHB,CRT,751
1,ok,HBSch,CRT,0
