TAZID,CITY_UGRC,CO_NAME
1,,Box Elder
2,,Box Elder
3,,Box Elder
4,,Box Elder
5,,Box Elder
6,,Box Elder
7,,Box Elder
8,,Box Elder
9,,Box Elder
10,,Box Elder
11,,Box Elder
12,,Box Elder
13,,Box Elder
14,,Box Elder
15,BGM,Box Elder
16,BGM,Box Elder
17,BGM,Box Elder
18,BGM,Box Elder
19,BGM,Box Elder
20,BGM,Box Elder
21,BGM,Box Elder
22,BGM,Box Elder
23,BGM,Box Elder
24,BGM,Box Elder
25,BGM,Box Elder
26,BGM,Box Elder
27,BGM,Box Elder
28,BGM,Box Elder
29,BGM,Box Elder
30,BGM,Box Elder
31,BGM,Box Elder
32,BGM,Box Elder
33,BGM,Box Elder
34,BGM,Box Elder
35,BGM,Box Elder
36,BGM,Box Elder
37,BGM,Box Elder
38,BGM,Box Elder
39,BGM,Box Elder
40,BGM,Box Elder
41,BGM,Box Elder
42,BGM,Box Elder
43,BGM,Box Elder
44,BGM,Box Elder
45,BGM,Box Elder
46,BGM,Box Elder
47,BGM,Box Elder
48,BGM,Box Elder
49,BGM,Box Elder
50,BGM,Box Elder
51,BGM,Box Elder
52,BGM,Box Elder
53,BGM,Box Elder
54,BGM,Box Elder
55,BGM,Box Elder
56,BGM,Box Elder
57,BGM,Box Elder
58,BGM,Box Elder
59,BGM,Box Elder
60,BGM,Box Elder
61,BGM,Box Elder
62,BGM,Box Elder
63,BGM,Box Elder
64,BGM,Box Elder
65,BGM,Box Elder
66,BGM,Box Elder
67,BGM,Box Elder
68,BGM,Box Elder
69,BGM,Box Elder
70,BGM,Box Elder
71,BGM,Box Elder
72,BGM,Box Elder
73,,Box Elder
74,BGM,Box Elder
75,BGM,Box Elder
76,BGM,Box Elder
77,BGM,Box Elder
78,BGM,Box Elder
79,BGM,Box Elder
80,BGM,Box Elder
81,BGM,Box Elder
82,BGM,Box Elder
83,BGM,Box Elder
84,BGM,Box Elder
85,BGM,Box Elder
86,PER,Box Elder
87,PER,Box Elder
88,PER,Box Elder
89,PER,Box Elder
90,PER,Box Elder
91,PER,Box Elder
92,PER,Box Elder
93,PER,Box Elder
94,PER,Box Elder
95,PER,Box Elder
96,PER,Box Elder
97,PER,Box Elder
98,PER,Box Elder
99,PER,Box Elder
100,PER,Box Elder
101,PER,Box Elder
102,PER,Box Elder
103,PER,Box Elder
104,PER,Box Elder
105,PER,Box Elder
106,PER,Box Elder
107,PER,Box Elder
108,PER,Box Elder
109,WIL,Box Elder
110,WIL,Box Elder
111,WIL,Box Elder
112,WIL,Box Elder
113,WIL,Box Elder
114,WIL,Box Elder
115,WIL,Box Elder
116,WIL,Box Elder
117,WIL,Box Elder
118,WIL,Box Elder
119,WIL,Box Elder
120,WIL,Box Elder
121,WIL,Box Elder
122,WIL,Box Elder
123,WIL,Box Elder
124,WIL,Box Elder
125,WIL,Box Elder
126,WIL,Box Elder
127,WIL,Box Elder
128,WIL,Box Elder
129,WIL,Box Elder
130,WIL,Box Elder
131,WIL,Box Elder
132,,Box Elder
133,,Box Elder
134,,Box Elder
135,,Box Elder
136,,Box Elder
137,,Box Elder
138,,Box Elder
139,,Box Elder
140,,Box Elder
141,,Box Elder
142,,Box Elder
143,,Box Elder
144,,Box Elder
145,,Box Elder
146,,Box Elder
147,,Box Elder
148,,Box Elder
149,,Box Elder
150,MAU,Box Elder
151,,Box Elder
152,,Box Elder
153,,Box Elder
154,,Weber
155,,Weber
156,,Weber
157,,Weber
158,,Weber
159,,Weber
160,,Weber
161,,Weber
162,,Weber
163,,Weber
164,,Weber
165,,Weber
166,,Weber
167,,Weber
168,,Weber
169,,Weber
170,,Weber
171,,Weber
172,,Weber
173,,Weber
174,,Weber
175,,Weber
176,,Weber
177,,Weber
178,,Weber
179,,Weber
180,,Weber
181,,Weber
182,,Weber
183,,Weber
184,,Weber
185,,Weber
186,,Weber
187,,Weber
188,,Weber
189,,Weber
190,,Weber
191,,Weber
192,,Weber
193,,Weber
194,,Weber
195,,Weber
196,,Weber
197,,Weber
198,,Weber
199,PLN,Weber
200,PLN,Weber
201,PLN,Weber
202,PLN,Weber
203,PLN,Weber
204,PLN,Weber
205,PLN,Weber
206,PLN,Weber
207,PLN,Weber
208,PLN,Weber
209,PLN,Weber
210,PLN,Weber
211,PLN,Weber
212,PLN,Weber
213,PLN,Weber
214,PLN,Weber
215,PLN,Weber
216,PLN,Weber
217,PLN,Weber
218,PLN,Weber
219,PLN,Weber
220,PLN,Weber
221,PLN,Weber
222,PLN,Weber
223,PLN,Weber
224,FRR,Weber
225,FRR,Weber
226,FRR,Weber
227,FRR,Weber
228,FRR,Weber
229,FRR,Weber
230,FRR,Weber
231,FRR,Weber
232,FRR,Weber
233,FRR,Weber
234,FRR,Weber
235,FRR,Weber
236,FRR,Weber
237,FRR,Weber
238,FRR,Weber
239,PVW,Weber
240,PVW,Weber
241,PVW,Weber
242,PVW,Weber
243,PVW,Weber
244,PVW,Weber
245,PVW,Weber
246,PVW,Weber
247,PVW,Weber
248,PVW,Weber
249,PVW,Weber
250,PVW,Weber
251,PVW,Weber
252,PVW,Weber
253,PVW,Weber
254,PVW,Weber
255,PVW,Weber
256,PVW,Weber
257,PVW,Weber
258,PVW,Weber
259,PVW,Weber
260,NOG,Weber
261,NOG,Weber
262,NOG,Weber
263,NOG,Weber
264,NOG,Weber
265,NOG,Weber
266,NOG,Weber
267,NOG,Weber
268,NOG,Weber
269,NOG,Weber
270,NOG,Weber
271,NOG,Weber
272,NOG,Weber
273,NOG,Weber
274,NOG,Weber
275,NOG,Weber
276,NOG,Weber
277,NOG,Weber
278,NOG,Weber
279,NOG,Weber
280,NOG,Weber
281,NOG,Weber
282,NOG,Weber
283,NOG,Weber
284,NOG,Weber
285,NOG,Weber
286,NOG,Weber
287,NOG,Weber
288,HAR,Weber
289,HAR,Weber
290,HAR,Weber
291,HAR,Weber
292,HAR,Weber
293,HAR,Weber
294,HAR,Weber
295,MSL,Weber
296,MSL,Weber
297,MSL,Weber
298,MSL,Weber
299,MSL,Weber
300,MSL,Weber
301,MSL,Weber
302,MSL,Weber
303,MSL,Weber
304,MSL,Weber
305,MSL,Weber
306,MSL,Weber
307,MSL,Weber
308,MSL,Weber
309,MSL,Weber
310,MSL,Weber
311,MSL,Weber
312,OGD,Weber
313,OGD,Weber
314,OGD,Weber
315,OGD,Weber
316,OGD,Weber
317,OGD,Weber
318,OGD,Weber
319,OGD,Weber
320,OGD,Weber
321,OGD,Weber
322,OGD,Weber
323,OGD,Weber
324,OGD,Weber
325,OGD,Weber
326,OGD,Weber
327,OGD,Weber
328,OGD,Weber
329,OGD,Weber
330,OGD,Weber
331,OGD,Weber
332,OGD,Weber
333,OGD,Weber
334,OGD,Weber
335,OGD,Weber
336,OGD,Weber
337,OGD,Weber
338,OGD,Weber
339,OGD,Weber
340,OGD,Weber
