Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,SF570,ok,     14.72,     46.97,     18.80,     30.00,      2.00,    294.40,     78.19,     78.21,      0.52,     77.67,      0.48,     77.73
      4.00,SF578,ok,     13.44,     43.76,     18.43,     30.00,      2.00,    268.80,     32.10,     32.12,      0.26,     31.84,      0.25,     31.87
      4.00,SF590,ok,     11.44,     42.49,     16.15,     30.00,      2.00,    228.80,     63.84,     63.85,      4.25,     59.59,      4.26,     59.59
      4.00,SF94,ok,      7.22,     24.12,     17.96,     30.00,      2.00,    144.40,     50.60,     50.59,      3.01,     47.59,      2.99,     47.60
      5.00,BRT56_R,pk,     52.52,    155.10,     20.32,     15.00,      4.00,   1260.48,   2801.50,   2801.41,    758.32,   2043.18,    758.27,   2043.14
      5.00,MidValCon,pk,     13.36,     38.41,     20.87,     15.00,      4.00,    320.64,    971.60,    971.64,    190.33,    781.27,    190.36,    781.28
      5.00,BRT56_R,ok,     52.52,    163.52,     19.27,     15.00,      4.00,   2100.80,   2885.65,   2885.65,    489.42,   2396.23,    489.44,   2396.21
      5.00,MidValCon,ok,     13.36,     40.65,     19.72,     15.00,      4.00,    534.40,    534.85,    534.83,     25.26,    509.59,     25.27,    509.56
      6.00,S451X,pk,     21.64,     38.20,     33.99,     30.00,      2.00,    259.68,      0.76,      0.75,         0,      0.76,         0,      0.75
      6.00,S472X,pk,     34.39,     66.87,     30.86,     30.00,      2.00,    412.68,     59.11,     59.12,         0,     59.11,         0,     59.12
      6.00,S473X,pk,     42.74,    109.25,     23.47,     30.00,      2.00,    512.88,    527.45,    527.45,    312.49,    214.96,    312.48,    214.97
      7.00,Blue,pk,     38.08,    103.36,     22.11,     15.00,      4.00,    913.92,   5063.87,   5063.79,   1022.95,   4040.92,   1022.93,   4040.86
      7.00,Green,pk,     28.64,     93.54,     18.37,     15.00,      4.00,    687.36,   4617.58,   4617.60,    397.37,   4220.21,    397.37,   4220.23
      7.00,Red,pk,     47.22,    120.72,     23.47,     15.00,      4.00,   1133.28,  12789.12,  12789.10,   3266.35,   9522.77,   3266.33,   9522.77
      7.00,Sline,pk,      4.02,     20.58,     11.72,     15.00,      4.00,     96.48,    303.61,    303.60,      7.46,    296.15,      7.46,    296.14
      7.00,Blue,ok,     38.08,    103.36,     22.11,     15.00,      4.00,   1523.20,   6117.65,   6117.59,    913.39,   5204.26,    913.35,   5204.24
