SEGID,DISTANCE,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,DY_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
0006_141.0,     5.843,       2.0,      11.7,Principal Arterial,      1065,     227.2,     446.8,     322.1,     400.4,    1396.5,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     6.152,     6.152,     6.152,     6.152,     6.152,     6.152,      6390,     12780,      6390,     25560,     51120,      0.07,      0.05,      0.06,      0.02,      0.07,    1327.6,    2610.8,    1882.1,    2339.6,    8160.1,    1088.0,    2032.3,    1449.7,    1872.2,    6442.2,         0,         0,         0,         0,         0,     163.6,     356.4,     321.4,     274.6,    1116.0,      76.0,     222.1,     111.0,     192.8,     601.9,    143.18,     23.29,     45.80,     33.02,     41.05,    143.16,         0,     0.001,     0.004,         0,     0.005
0006_146.9,     3.039,       2.0,       6.1,Principal Arterial,      1065,     228.7,     449.8,     322.9,     402.4,    1403.8,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     3.199,     3.200,     3.199,     3.199,     3.199,     3.199,      6390,     12780,      6390,     25560,     51120,      0.07,      0.05,      0.06,      0.02,      0.07,     695.1,    1366.9,     981.3,    1222.9,    4266.2,     570.4,    1066.1,     756.4,     979.8,    3372.7,         0,         0,         0,         0,         0,      85.1,     185.3,     167.1,     142.9,     580.4,      39.5,     115.5,      57.7,     100.3,     313.0,     74.84,     12.19,     23.98,     17.21,     21.45,     74.83,     0.004,         0,         0,     0.002,     0.006
0006_149.9,     0.678,       2.0,       1.4,Principal Arterial,      1065,     311.6,     554.3,     436.2,     496.3,    1798.4,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     0.714,     0.714,     0.714,     0.714,     0.714,     0.714,      6390,     12780,      6390,     25560,     51120,      0.08,      0.06,      0.08,      0.02,      0.08,     211.3,     375.8,     295.7,     336.5,    1219.3,     183.4,     301.9,     248.0,     290.4,    1023.7,       0.7,      17.7,       5.4,       3.4,      27.2,      18.4,      33.3,      29.6,      25.0,     106.3,       8.8,      22.9,      12.8,      17.7,      62.2,     21.39,      3.71,      6.59,      5.19,      5.90,     21.39,         0,         0,     0.001,     0.008,     0.009
0006_150.6,     1.973,       2.0,       3.9,Principal Arterial,      1065,     387.3,     668.9,     525.2,     588.1,    2169.5,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     2.077,     2.077,     2.077,     2.077,     2.077,     2.077,      6390,     12780,      6390,     25560,     51120,      0.08,      0.07,      0.09,      0.03,      0.09,     764.2,    1319.8,    1036.3,    1160.4,    4280.7,     654.9,    1024.7,     868.9,     994.8,    3543.3,       3.6,      63.7,      24.3,      13.4,     105.0,      78.3,     142.4,     103.2,      90.8,     414.7,      27.5,      89.0,      39.9,      61.4,     217.8,     75.10,     13.41,     23.15,     18.18,     20.36,     75.10,     0.001,     0.004,         0,         0,     0.005
0006_152.6,     0.316,       2.0,       0.6,Minor Arterial,       983,     564.6,     950.7,     749.0,     801.1,    3065.4,      46.0,      46.0,      46.0,      46.0,      46.0,      46.0,     0.412,     0.412,     0.412,     0.412,     0.412,     0.412,      5898,     11796,      5898,     23592,     47184,      0.13,      0.10,      0.15,      0.04,      0.15,     178.6,     300.7,     236.9,     253.4,     969.6,     153.8,     229.2,     201.6,     216.7,     801.3,       1.2,      15.8,       5.0,       3.8,      25.8,      18.2,      34.2,      22.3,      20.6,      95.3,       5.4,      21.5,       7.8,      12.3,      47.0,     21.06,      3.88,      6.53,      5.15,      5.51,     21.07,         0,     0.002,     0.001,     0.003,     0.006
0006_152.9,     2.923,       2.0,       5.8,Principal Arterial,      1052,     716.8,    1307.1,     940.1,    1009.1,    3973.1,      55.0,      54.9,      55.0,      55.0,      55.0,      55.0,     3.189,     3.193,     3.189,     3.190,     3.189,     3.190,      6311,     12622,      6311,     25243,     50487,      0.16,      0.12,      0.17,      0.05,      0.17,    2095.3,    3820.9,    2748.2,    2949.8,   11614.2,    1831.4,    3010.9,    2369.9,    2552.0,    9764.2,      17.6,     185.6,      57.0,      43.8,     304.0,     182.7,     372.1,     239.7,     225.3,    1019.8,      63.8,     252.3,      81.5,     128.6,     526.2,    211.14,     38.14,     69.48,     49.98,     53.64,    211.24,     0.052,     0.016,     0.020,     0.007,     0.095
0006_155.8,     0.202,       2.0,       0.4,Principal Arterial,      1065,     723.3,    1320.4,     950.7,    1021.7,    4016.1,      57.0,      57.0,      56.9,      56.9,      57.0,      56.9,     0.212,     0.212,     0.212,     0.212,     0.212,     0.212,      6390,     12780,      6390,     25560,     51120,      0.16,      0.12,      0.17,      0.05,      0.17,     145.8,     266.3,     191.7,     206.0,     809.8,     127.6,     209.7,     165.5,     178.4,     681.2,       1.2,      12.9,       3.8,       3.0,      20.9,      12.7,      25.9,      16.7,      15.8,      71.1,       4.4,      17.8,       5.6,       8.8,      36.6,     14.21,      2.56,      4.68,      3.37,      3.61,     14.22,     0.002,         0,         0,         0,     0.002
0006_155.9,     1.316,       2.0,       2.6,Principal Arterial,      1065,     656.1,    1192.8,     857.8,     920.4,    3627.1,      57.0,      57.0,      57.0,      57.0,      57.0,      57.0,     1.385,     1.385,     1.385,     1.385,     1.385,     1.385,      6390,     12780,      6390,     25560,     51120,      0.14,      0.11,      0.16,      0.04,      0.16,     863.4,    1569.7,    1128.9,    1211.2,    4773.2,     756.1,    1247.4,     980.6,    1048.6,    4032.7,       7.8,      71.1,      21.0,      18.2,     118.1,      73.1,     144.9,      91.8,      87.9,     397.7,      26.3,     106.5,      35.4,      56.6,     224.8,     83.72,     15.15,     27.53,     19.81,     21.25,     83.74,         0,         0,     0.002,         0,     0.002
0006_157.3,     0.250,       2.0,       0.5,Principal Arterial,      1065,     839.4,    1545.9,    1131.7,    1237.2,    4754.2,      56.9,      56.9,      56.9,      56.8,      56.9,      56.9,     0.263,     0.263,     0.263,     0.263,     0.263,     0.263,      6390,     12780,      6390,     25560,     51120,      0.17,      0.14,      0.21,      0.06,      0.21,     209.6,     385.9,     282.5,     308.9,    1186.9,     184.5,     310.5,     246.1,     271.0,    1012.1,       1.9,      18.2,       6.5,       4.7,      31.3,      16.9,      34.6,      22.2,      19.9,      93.6,       6.2,      22.7,       7.7,      13.2,      49.8,     20.85,      3.68,      6.78,      4.97,      5.43,     20.86,     0.001,         0,         0,     0.002,     0.003
0006_157.6,     0.918,       2.0,       1.8,Principal Arterial,      1060,     980.5,    1812.9,    1312.6,    1455.3,    5561.3,      55.8,      55.8,      55.8,      55.8,      55.8,      55.8,     0.987,     0.987,     0.987,     0.988,     0.987,     0.987,      6358,     12717,      6358,     25434,     50867,      0.20,      0.16,      0.24,      0.07,      0.24,     900.4,    1664.9,    1205.4,    1336.5,    5107.2,     788.1,    1344.6,    1053.6,    1179.8,    4366.1,       9.2,      76.6,      28.4,      22.0,     136.2,      76.8,     151.1,      93.0,      83.0,     403.9,      26.3,      92.6,      30.4,      51.6,     200.9,     91.47,     16.14,     29.83,     21.62,     23.94,     91.53,     0.006,     0.012,     0.025,         0,     0.043
