Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,M821_5YR2023,pk,     37.33,     83.02,     26.98,     30.00,      2.00,    447.96,    156.89,    156.93,     21.68,    135.21,     21.70,    135.23
      4.00,M823_5RY2023,pk,     19.12,     55.97,     20.50,     30.00,      2.00,    229.44,    123.88,    123.88,      9.89,    113.99,      9.86,    114.02
      4.00,M831_WPr,pk,     23.68,     79.42,     17.89,     30.00,      2.00,    284.16,    556.28,    556.30,     14.54,    541.74,     14.55,    541.75
      4.00,M833_CntPr,pk,      9.75,     28.27,     20.69,     60.00,      1.00,     58.50,     28.07,     28.07,      0.89,     27.18,      0.88,     27.19
      4.00,M834_EstPr,pk,     25.64,     79.18,     19.43,     30.00,      2.00,    307.68,    187.00,    186.94,     10.97,    176.03,     10.92,    176.02
      4.00,M841_UVU,pk,      5.32,     19.52,     16.35,     30.00,      2.00,     63.84,     56.31,     56.28,      1.08,     55.23,      1.07,     55.21
      4.00,M850_StateStree,pk,     45.58,    147.51,     18.54,     15.00,      4.00,   1093.92,   1033.52,   1033.60,    108.93,    924.59,    108.97,    924.63
      4.00,M862_Orem,pk,     28.28,     92.72,     18.30,     30.00,      2.00,    339.36,    654.52,    654.55,    109.99,    544.53,    110.02,    544.53
      4.00,M864_Thanksgivi,pk,      7.25,     24.73,     17.59,     30.00,      2.00,     87.00,     60.90,     60.91,      3.17,     57.73,      3.17,     57.74
      4.00,M871_SLtoUtahCn,pk,     26.46,     70.70,     22.46,     30.00,      2.00,    317.52,     64.45,     64.49,      9.17,     55.28,      9.21,     55.28
      4.00,O600,pk,     46.04,    145.95,     18.93,     15.00,      4.00,   1104.96,    704.29,    704.27,     47.43,    656.86,     47.45,    656.82
      4.00,O601,pk,      3.70,     16.47,     13.48,     20.00,      3.00,     66.60,     10.18,     10.18,      0.21,      9.97,      0.22,      9.96
      4.00,O604,pk,     14.00,     44.05,     19.07,     30.00,      2.00,    168.00,     41.03,     41.07,      8.86,     32.17,      8.88,     32.19
      4.00,O607,pk,     20.92,     61.85,     20.29,     30.00,      2.00,    251.04,    233.11,    233.15,     25.29,    207.82,     25.31,    207.84
      4.00,O609,pk,     42.50,    118.69,     21.48,     30.00,      2.00,    510.00,    677.23,    677.18,    234.38,    442.85,    234.33,    442.85
      4.00,O612,pk,     26.20,     78.37,     20.06,     15.00,      4.00,    628.80,    449.44,    449.39,     17.88,    431.56,     17.89,    431.50
      4.00,O614,pk,     17.94,     52.50,     20.50,     30.00,      2.00,    215.28,     48.08,     48.05,      0.52,     47.56,      0.51,     47.54
      4.00,O615,pk,     15.08,     43.70,     20.70,     30.00,      2.00,    180.96,    255.74,    255.78,     22.94,    232.80,     22.94,    232.84
      4.00,O626,pk,     28.38,     76.72,     22.19,     30.00,      2.00,    340.56,    135.07,    135.06,     11.77,    123.30,     11.76,    123.30
      4.00,O627,pk,     18.58,     54.97,     20.28,     30.00,      2.00,    222.96,     85.21,     85.22,      8.58,     76.63,      8.58,     76.64
      4.00,O628,pk,     12.92,     44.00,     17.62,     30.00,      2.00,    155.04,     86.70,     86.68,     13.57,     73.13,     13.59,     73.09
      4.00,O630,pk,     48.72,     97.88,     29.87,     60.00,      1.00,    292.32,    193.18,    193.09,     16.89,    176.29,     16.85,    176.24
