SEGID,DISTANCE,DIRECTION,FUNCGROUP,SUBAREAID,CO_FIPS,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,DY_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
2148_005.5,     0.150,Both,Total,       1.0,      35.0,       4.0,       0.6,Collector,       668,     648.4,     938.2,    2102.2,     392.3,    4081.1,      28.0,      28.0,      28.0,      27.6,      28.0,      27.8,     0.322,     0.322,     0.322,     0.325,     0.322,     0.324,      8016,     16032,      8016,     32064,     64128,      0.14,      0.08,      0.29,      0.01,      0.29,      97.3,     140.7,     315.4,      58.8,     612.2,      83.5,     118.9,     283.3,      53.1,     538.8,       1.1,       4.2,       5.6,       1.0,      11.9,      10.8,      13.4,      22.1,       3.3,      49.6,       1.8,       4.4,       4.4,       1.6,      12.2,     21.87,      3.48,      5.03,     11.41,      2.10,     22.02,     0.006,     0.003,     0.133,         0,     0.142
2148_005.6,     0.149,Both,Total,       1.0,      35.0,       4.0,       0.6,Collector,       668,     592.8,    1789.6,    1630.8,     889.8,    4903.0,      28.0,      28.0,      28.0,      27.8,      28.0,      27.9,     0.318,     0.318,     0.319,     0.321,     0.318,     0.319,      8016,     16032,      8016,     32064,     64128,      0.12,      0.17,      0.24,      0.03,      0.24,      88.1,     266.1,     242.6,     132.4,     729.2,      72.9,     221.2,     211.8,     117.5,     623.4,       1.7,       8.8,       4.8,       2.3,      17.6,      11.3,      25.4,      22.8,       9.4,      68.9,       2.4,      10.8,       3.4,       3.0,      19.6,     26.03,      3.15,      9.52,      8.72,      4.73,     26.12,         0,     0.017,     0.060,         0,     0.077
2148_005.8,     0.151,Both,Total,       1.0,      35.0,       2.0,       0.3,Collector,       696,    1179.0,    3058.1,    2099.7,     596.1,    6932.9,      28.0,      25.9,      26.5,      25.3,      28.0,      26.2,     0.324,     0.350,     0.343,     0.360,     0.324,     0.347,      4176,      8352,      4176,     16704,     33408,      0.54,      0.51,      0.59,      0.04,      0.59,     178.5,     463.2,     318.1,      90.3,    1050.1,     146.9,     386.2,     251.1,      81.8,     866.0,       2.6,      13.6,       5.0,       1.0,      22.2,      22.4,      45.8,      51.2,       5.9,     125.3,       6.8,      17.5,      10.7,       1.7,      36.7,     37.46,      6.88,     17.48,     12.57,      3.22,     40.15,     0.513,     0.950,     1.242,     0.002,     2.707
2148_005.9,     0.150,Both,Total,       1.0,      35.0,       2.0,       0.3,Collector,       660,     792.0,    2299.0,    1665.4,    1556.0,    6312.4,      22.0,      21.5,      21.4,      20.6,      22.0,      21.3,     0.409,     0.418,     0.420,     0.438,     0.410,     0.422,      3960,      7920,      3960,     15840,     31680,      0.36,      0.40,      0.55,      0.18,      0.55,     118.8,     345.0,     249.9,     233.6,     947.3,      98.9,     282.9,     213.2,     193.6,     788.6,       1.9,      11.3,       4.0,       3.7,      20.9,      14.3,      38.0,      27.5,      25.9,     105.7,       3.8,      12.8,       5.2,      10.3,      32.1,     43.02,      5.52,     16.10,     12.16,     10.64,     44.42,     0.120,     0.419,     0.818,     0.026,     1.383
2148_006.1,     0.150,Both,Total,       1.0,      35.0,       2.0,       0.3,Collector,       660,    1109.7,    2474.2,    1475.4,    2616.9,    7676.2,      22.0,      21.4,      21.4,      20.9,      21.9,      21.5,     0.408,     0.419,     0.419,     0.429,     0.410,     0.418,      3960,      7920,      3960,     15840,     31680,      0.37,      0.37,      0.46,      0.21,      0.46,     166.1,     370.4,     220.9,     391.7,    1149.1,     126.8,     300.0,     192.2,     329.6,     948.6,       3.4,      12.6,       3.6,       6.2,      25.8,      27.0,      42.4,      20.0,      39.4,     128.8,       8.9,      15.3,       5.2,      16.5,      45.9,     52.25,      7.75,     17.30,     10.55,     17.88,     53.48,     0.203,     0.456,     0.505,     0.063,     1.227
2148_006.2,     0.148,Both,Total,       1.0,      35.0,       2.0,       0.3,Collector,       660,     778.7,    1965.8,    1550.8,    1779.7,    6075.0,      22.0,      21.8,      21.6,      21.0,      22.0,      21.6,     0.405,     0.409,     0.412,     0.423,     0.405,     0.413,      3960,      7920,      3960,     15840,     31680,      0.26,      0.29,      0.46,      0.14,      0.46,     115.6,     291.8,     230.2,     264.1,     901.7,      85.1,     219.9,     203.9,     215.2,     724.1,       3.5,      15.0,       3.2,       4.7,      26.4,      22.1,      40.0,      19.4,      30.7,     112.2,       4.9,      16.9,       3.8,      13.5,      39.1,     40.99,      5.30,     13.48,     10.95,     12.02,     41.75,     0.054,     0.217,     0.477,     0.017,     0.765
2148_006.4,     0.152,Both,Total,       1.0,      35.0,       2.0,       0.3,Collector,       660,     523.5,    1273.8,    1091.9,    1322.1,    4211.3,      22.0,      21.9,      21.9,      21.5,      22.0,      21.8,     0.413,     0.415,     0.416,     0.424,     0.413,     0.417,      3960,      7920,      3960,     15840,     31680,      0.16,      0.20,      0.32,      0.11,      0.32,      79.4,     193.2,     165.6,     200.6,     638.8,      53.7,     138.4,     130.8,     163.8,     486.7,       2.3,      11.2,       4.3,       3.7,      21.5,      18.4,      29.0,      23.4,      22.5,      93.3,       5.1,      14.7,       7.2,      10.6,      37.6,     29.00,      3.62,      8.82,      7.70,      9.11,     29.25,     0.020,     0.054,     0.190,     0.003,     0.267
2148_006.5,     0.150,Both,Total,       1.0,      35.0,       2.0,       0.3,Collector,       660,     515.0,    1327.1,    1029.7,     945.0,    3816.8,      22.0,      21.8,      21.9,      21.5,      22.0,      21.8,     0.410,     0.412,     0.412,     0.418,     0.410,     0.413,      3960,      7920,      3960,     15840,     31680,      0.19,      0.19,      0.31,      0.08,      0.31,      77.3,     199.2,     154.5,     141.8,     572.8,      57.7,     149.8,     124.8,     118.9,     451.2,       1.6,      11.6,       4.8,       3.6,      21.6,      14.3,      27.3,      19.8,      13.6,      75.0,       3.9,      10.4,       5.1,       5.6,      25.0,     26.07,      3.54,      9.11,      7.18,      6.46,     26.29,     0.022,     0.051,     0.135,         0,     0.208
2148_006.7,     0.150,Both,Total,       1.0,      35.0,       2.0,       0.3,Collector,       660,    1092.5,    1767.7,    1578.7,    1082.9,    5521.8,      22.0,      21.4,      21.7,      20.7,      22.0,      21.4,     0.409,     0.421,     0.414,     0.434,     0.409,     0.421,      3960,      7920,      3960,     15840,     31680,      0.36,      0.26,      0.43,      0.08,      0.43,     163.7,     264.8,     236.6,     162.3,     827.4,     126.8,     195.9,     203.4,     129.4,     655.5,       2.9,      14.1,       5.5,       3.9,      26.4,      26.9,      38.4,      22.2,      20.5,     108.0,       7.3,      16.3,       5.5,       8.5,      37.6,     37.66,      7.66,     12.18,     11.41,      7.39,     38.64,     0.219,     0.134,     0.643,     0.002,     0.998
2148_006.8,     0.145,Both,Total,       1.0,      35.0,       4.0,       0.6,Collector,       633,    4315.2,    9177.9,    6023.0,   10151.2,   29667.3,      22.0,      18.5,      18.9,      16.5,      21.4,      19.0,     0.396,     0.475,     0.463,     0.527,     0.407,     0.459,      7596,     15192,      7596,     30384,     60768,      0.76,      0.68,      0.84,      0.37,      0.84,     627.2,    1333.8,     875.3,    1475.3,    4311.6,     558.5,    1116.3,     814.2,    1317.0,    3806.0,      11.4,      61.1,      13.1,      24.1,     109.7,      47.4,     114.4,      41.8,      91.2,     294.8,       9.8,      42.0,       6.3,      42.9,     101.0,    196.01,     33.93,     70.75,     52.90,     68.89,    226.47,     5.661,    10.137,    13.147,     1.823,    30.768
2148_007.0,     0.160,Both,Total,       1.0,      35.0,       4.0,       0.6,Collector,       633,    1327.4,    3069.3,    2425.8,    1336.3,    8158.8,      22.0,      21.8,      21.8,      21.5,      22.0,      21.7,     0.436,     0.440,     0.439,     0.447,     0.436,     0.441,      7596,     15192,      7596,     30384,     60768,      0.26,      0.25,      0.35,      0.05,      0.35,     212.2,     490.6,     387.7,     213.6,    1304.1,     188.1,     401.5,     342.4,     198.2,    1130.2,       2.4,      14.6,       4.6,       2.1,      23.7,      17.2,      48.0,      34.8,      11.2,     111.2,       4.5,      26.5,       5.8,       2.2,      39.0,     59.34,      9.73,     22.48,     18.05,      9.72,     59.98,     0.078,     0.148,     0.417,         0,     0.643
2149_001.7,     0.119,Both,Total,       1.0,      35.0,       4.0,       0.5,Minor Arterial,       815,    1197.0,    2865.5,    2226.8,    2285.1,    8574.4,      30.0,      30.0,      30.0,      29.9,      30.0,      30.0,     0.239,     0.239,     0.239,     0.239,     0.239,     0.239,      9780,     19560,      9780,     39120,     78240,      0.18,      0.21,      0.30,      0.08,      0.30,     142.7,     341.8,     265.5,     272.5,    1022.5,     119.6,     290.7,     236.6,     246.3,     893.2,       1.4,       9.5,       3.8,       2.4,      17.1,      16.8,      31.5,      21.1,      18.9,      88.3,       4.9,      10.1,       4.0,       5.0,      24.0,     34.09,      4.76,     11.40,      8.88,      9.08,     34.12,         0,     0.011,     0.032,         0,     0.043
2149_001.8,     0.518,Both,Total,       1.0,      35.0,       4.0,       2.1,Minor Arterial,       815,    2193.6,    5417.5,    3767.4,    4051.3,   15429.8,      30.0,      29.9,      29.8,      29.2,      30.0,      29.7,     1.036,     1.038,     1.042,     1.064,     1.036,     1.045,      9780,     19560,      9780,     39120,     78240,      0.25,      0.35,      0.51,      0.15,      0.51,    1136.3,    2806.3,    1951.5,    2098.6,    7992.7,     971.3,    2392.4,    1730.1,    1933.7,    7027.5,      15.9,      83.5,      35.2,      19.7,     154.3,     115.4,     218.5,     146.6,     107.9,     588.4,      33.7,     111.9,      39.6,      37.3,     222.5,    266.48,     37.97,     94.14,     66.79,     69.97,    268.87,     0.078,     0.560,     1.714,     0.011,     2.363
