Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,O606,pk,      4.96,     13.82,     21.53,    360.00,      0.17,      4.96,      0.01,      0.01,         0,      0.01,         0,      0.01
      4.00,S513,pk,     32.36,    110.76,     17.53,     30.00,      2.00,    388.32,    201.72,    201.78,     24.72,    177.00,     24.74,    177.04
      4.00,S551,pk,     15.23,     44.32,     20.62,     30.00,      2.00,    182.76,     27.18,     27.20,      6.60,     20.58,      6.60,     20.60
      4.00,M821_5YR2023,ok,     37.33,     95.77,     23.39,     30.00,      2.00,    746.60,    166.76,    166.74,     17.39,    149.37,     17.39,    149.35
      4.00,M823_5RY2023,ok,     19.12,     60.44,     18.98,     30.00,      2.00,    382.40,    177.08,    177.09,      9.91,    167.17,      9.90,    167.19
      4.00,M831_WPr,ok,     23.68,     84.57,     16.80,     30.00,      2.00,    473.60,    315.40,    315.41,      9.94,    305.46,      9.91,    305.50
      4.00,M833_CntPr,ok,      9.75,     30.24,     19.35,     60.00,      1.00,     97.50,     39.04,     39.06,      1.32,     37.72,      1.34,     37.72
      4.00,M834_EstPr,ok,     25.64,     84.76,     18.15,     30.00,      2.00,    512.80,    224.98,    224.96,      7.40,    217.58,      7.37,    217.59
      4.00,M841_UVU,ok,      5.32,     20.63,     15.47,     30.00,      2.00,    106.40,     31.38,     31.38,      0.87,     30.51,      0.87,     30.51
      4.00,M850_StateStree,ok,     45.58,    161.87,     16.90,     15.00,      4.00,   1823.20,   1223.99,   1224.07,     84.37,   1139.62,     84.39,   1139.68
      4.00,M862_Orem,ok,     28.28,    100.60,     16.87,     30.00,      2.00,    565.60,    184.71,    184.75,      9.14,    175.57,      9.20,    175.55
      4.00,M864_Thanksgivi,ok,      7.25,     26.25,     16.57,     30.00,      2.00,    145.00,     50.82,     50.78,      3.56,     47.26,      3.55,     47.23
      4.00,M871_SLtoUtahCn,ok,     26.46,     80.12,     19.82,     60.00,      1.00,    264.60,     27.34,     27.37,      1.75,     25.59,      1.75,     25.62
      4.00,O600,ok,     46.04,    159.75,     17.29,     15.00,      4.00,   1841.60,    651.87,    651.87,     38.03,    613.84,     38.07,    613.80
      4.00,O601,ok,      3.70,     17.95,     12.37,     20.00,      3.00,    111.00,     13.02,     13.02,      0.29,     12.73,      0.28,     12.74
      4.00,O604,ok,     14.00,     47.43,     17.71,     30.00,      2.00,    280.00,     49.41,     49.41,      7.11,     42.30,      7.12,     42.29
      4.00,O607,ok,     20.92,     67.09,     18.71,     30.00,      2.00,    418.40,    163.86,    163.88,     12.67,    151.19,     12.68,    151.20
      4.00,O609,ok,     42.50,    135.11,     18.87,     30.00,      2.00,    850.00,    150.11,    150.11,     17.82,    132.29,     17.80,    132.31
      4.00,O612,ok,     26.20,     84.23,     18.66,     15.00,      4.00,   1048.00,    599.25,    599.31,     20.81,    578.44,     20.82,    578.49
      4.00,O614,ok,     17.94,     56.13,     19.18,     30.00,      2.00,    358.80,     77.96,     77.96,      0.98,     76.98,      0.97,     76.99
      4.00,O615,ok,     15.08,     45.88,     19.72,     30.00,      2.00,    301.60,     82.15,     82.16,      5.64,     76.51,      5.64,     76.52
      4.00,O626,ok,     28.38,     82.98,     20.52,     30.00,      2.00,    567.60,    110.42,    110.43,      7.62,    102.80,      7.65,    102.78
      4.00,O627,ok,     18.58,     60.02,     18.57,     30.00,      2.00,    371.60,     80.70,     80.70,      4.83,     75.87,      4.82,     75.88
      4.00,O628,ok,     12.92,     47.58,     16.29,     30.00,      2.00,    258.40,     82.19,     82.12,      9.14,     73.05,      9.11,     73.01
      4.00,O630,ok,     48.72,    108.36,     26.98,     60.00,      1.00,    487.20,    174.58,    174.52,      9.06,    165.52,      9.01,    165.51
      4.00,O640,ok,     35.10,    118.95,     17.70,     30.00,      2.00,    702.00,    166.30,    166.33,     10.92,    155.38,     10.99,    155.34
